datetime,open,high,low,close,volume
2023-12-31 16:00:00,1.703,1.718,1.697,1.712,123252.4
2023-12-31 17:00:00,1.712,1.717,1.7,1.715,171828.1
2023-12-31 18:00:00,1.715,1.718,1.709,1.712,129577.9
2023-12-31 19:00:00,1.713,1.717,1.706,1.708,92271.6
2023-12-31 20:00:00,1.709,1.712,1.685,1.689,242358.7
2023-12-31 21:00:00,1.689,1.71,1.689,1.699,108459.7
2023-12-31 22:00:00,1.7,1.706,1.613,1.649,602246.7
2023-12-31 23:00:00,1.649,1.668,1.643,1.657,411417.8
2024-01-01 00:00:00,1.656,1.674,1.654,1.661,320828.3
2024-01-01 01:00:00,1.662,1.682,1.661,1.67,240803.5
2024-01-01 02:00:00,1.67,1.674,1.656,1.661,178162.3
2024-01-01 03:00:00,1.661,1.663,1.636,1.645,294189.5
2024-01-01 04:00:00,1.646,1.654,1.626,1.644,418227.4
2024-01-01 05:00:00,1.644,1.65,1.618,1.624,354103.8
2024-01-01 06:00:00,1.624,1.642,1.623,1.641,116831.9
2024-01-01 07:00:00,1.641,1.656,1.638,1.645,217615.7
2024-01-01 08:00:00,1.646,1.652,1.64,1.645,151602.7
2024-01-01 09:00:00,1.645,1.657,1.641,1.651,111808.0
2024-01-01 10:00:00,1.651,1.658,1.65,1.656,151481.7
2024-01-01 11:00:00,1.655,1.663,1.653,1.66,124185.9
2024-01-01 12:00:00,1.661,1.674,1.654,1.667,161449.3
2024-01-01 13:00:00,1.667,1.684,1.663,1.681,140314.0
2024-01-01 14:00:00,1.681,1.682,1.666,1.675,169019.3
2024-01-01 15:00:00,1.675,1.694,1.675,1.69,256457.7
2024-01-01 16:00:00,1.691,1.701,1.689,1.699,221294.9
2024-01-01 17:00:00,1.699,1.713,1.69,1.707,233959.5
2024-01-01 18:00:00,1.708,1.729,1.701,1.723,270601.1
2024-01-01 19:00:00,1.722,1.734,1.714,1.731,210073.3
2024-01-01 20:00:00,1.731,1.734,1.716,1.722,300309.4
2024-01-01 21:00:00,1.722,1.723,1.709,1.719,134650.8
2024-01-01 22:00:00,1.72,1.722,1.706,1.714,135382.5
2024-01-01 23:00:00,1.714,1.73,1.711,1.729,188123.2
2024-01-02 00:00:00,1.729,1.74,1.706,1.74,364884.6
2024-01-02 01:00:00,1.74,1.747,1.727,1.736,255612.6
2024-01-02 02:00:00,1.736,1.743,1.732,1.737,91007.0
2024-01-02 03:00:00,1.738,1.74,1.718,1.739,201163.5
2024-01-02 04:00:00,1.739,1.754,1.733,1.743,198106.3
2024-01-02 05:00:00,1.743,1.753,1.737,1.738,159992.1
2024-01-02 06:00:00,1.738,1.753,1.734,1.738,188063.0
2024-01-02 07:00:00,1.738,1.747,1.727,1.733,281692.6
2024-01-02 08:00:00,1.732,1.755,1.726,1.75,270215.4
2024-01-02 09:00:00,1.75,1.756,1.745,1.745,164627.3
2024-01-02 10:00:00,1.746,1.751,1.731,1.74,257444.7
2024-01-02 11:00:00,1.739,1.75,1.721,1.732,358668.4
2024-01-02 12:00:00,1.731,1.733,1.709,1.712,210295.2
2024-01-02 13:00:00,1.711,1.733,1.708,1.723,203187.4
2024-01-02 14:00:00,1.723,1.731,1.682,1.695,801487.7
2024-01-02 15:00:00,1.695,1.718,1.679,1.693,605262.4
2024-01-02 16:00:00,1.693,1.701,1.678,1.699,327078.1
2024-01-02 17:00:00,1.699,1.699,1.68,1.684,236217.6
2024-01-02 18:00:00,1.684,1.685,1.664,1.67,475262.4
2024-01-02 19:00:00,1.67,1.681,1.658,1.678,438738.9
2024-01-02 20:00:00,1.678,1.7,1.666,1.67,293852.1
2024-01-02 21:00:00,1.67,1.69,1.665,1.687,232760.3
2024-01-02 22:00:00,1.688,1.696,1.679,1.687,140873.6
2024-01-02 23:00:00,1.687,1.694,1.676,1.687,194034.7
2024-01-03 00:00:00,1.687,1.718,1.686,1.709,344068.6
2024-01-03 01:00:00,1.71,1.717,1.699,1.715,154094.7
2024-01-03 02:00:00,1.715,1.726,1.703,1.715,134470.3
2024-01-03 03:00:00,1.714,1.715,1.699,1.706,102155.3
2024-01-03 04:00:00,1.705,1.717,1.702,1.708,129357.6
2024-01-03 05:00:00,1.708,1.725,1.703,1.716,140091.9
2024-01-03 06:00:00,1.717,1.742,1.715,1.736,193730.3
2024-01-03 07:00:00,1.736,1.756,1.719,1.729,413839.1
2024-01-03 08:00:00,1.728,1.746,1.728,1.738,331003.5
2024-01-03 09:00:00,1.738,1.75,1.732,1.744,307532.9
2024-01-03 10:00:00,1.744,1.758,1.73,1.748,447580.6
2024-01-03 11:00:00,1.748,1.76,1.659,1.686,1380068.7
2024-01-03 12:00:00,1.685,1.687,1.222,1.506,5348738.4
2024-01-03 13:00:00,1.505,1.516,1.478,1.505,1596057.1
2024-01-03 14:00:00,1.506,1.506,1.44,1.475,1320468.9
2024-01-03 15:00:00,1.474,1.519,1.469,1.513,1160831.6
2024-01-03 16:00:00,1.513,1.532,1.494,1.507,918818.2
2024-01-03 17:00:00,1.506,1.513,1.485,1.497,457608.0
2024-01-03 18:00:00,1.496,1.505,1.461,1.475,545447.2
2024-01-03 19:00:00,1.475,1.501,1.472,1.485,335158.7
2024-01-03 20:00:00,1.485,1.513,1.483,1.506,219840.1
2024-01-03 21:00:00,1.507,1.516,1.5,1.507,252510.1
2024-01-03 22:00:00,1.508,1.51,1.482,1.495,217566.8
2024-01-03 23:00:00,1.494,1.5,1.483,1.5,140927.3
2024-01-04 00:00:00,1.5,1.509,1.491,1.492,189231.6
2024-01-04 01:00:00,1.492,1.503,1.464,1.477,422882.7
2024-01-04 02:00:00,1.478,1.504,1.476,1.502,212983.8
2024-01-04 03:00:00,1.503,1.514,1.497,1.511,202267.2
2024-01-04 04:00:00,1.512,1.544,1.504,1.542,299984.3
2024-01-04 05:00:00,1.542,1.558,1.533,1.55,416404.1
2024-01-04 06:00:00,1.551,1.561,1.53,1.54,360637.1
2024-01-04 07:00:00,1.541,1.546,1.508,1.51,518279.4
2024-01-04 08:00:00,1.51,1.524,1.5,1.518,392898.5
2024-01-04 09:00:00,1.518,1.527,1.514,1.519,276094.3
2024-01-04 10:00:00,1.519,1.523,1.495,1.517,493492.5
2024-01-04 11:00:00,1.517,1.52,1.503,1.507,289096.2
2024-01-04 12:00:00,1.506,1.524,1.5,1.514,304352.1
2024-01-04 13:00:00,1.513,1.514,1.496,1.506,165757.3
2024-01-04 14:00:00,1.506,1.527,1.496,1.525,255905.2
2024-01-04 15:00:00,1.525,1.526,1.511,1.524,527713.3
2024-01-04 16:00:00,1.524,1.533,1.512,1.526,351359.6
2024-01-04 17:00:00,1.526,1.533,1.514,1.523,219050.5
2024-01-04 18:00:00,1.522,1.531,1.515,1.525,131781.4
2024-01-04 19:00:00,1.525,1.534,1.515,1.518,209799.3
2024-01-04 20:00:00,1.518,1.547,1.518,1.531,256773.5
2024-01-04 21:00:00,1.531,1.541,1.517,1.527,181908.3
2024-01-04 22:00:00,1.528,1.54,1.517,1.528,160357.8
2024-01-04 23:00:00,1.528,1.531,1.516,1.522,143043.2
2024-01-05 00:00:00,1.522,1.542,1.518,1.527,301313.8
2024-01-05 01:00:00,1.527,1.53,1.429,1.476,841321.0
2024-01-05 02:00:00,1.476,1.492,1.465,1.479,419252.3
2024-01-05 03:00:00,1.478,1.493,1.468,1.474,275521.7
2024-01-05 04:00:00,1.474,1.485,1.465,1.481,248189.4
2024-01-05 05:00:00,1.482,1.497,1.48,1.49,168173.3
2024-01-05 06:00:00,1.491,1.5,1.475,1.491,212945.7
2024-01-05 07:00:00,1.492,1.499,1.48,1.482,176954.2
2024-01-05 08:00:00,1.481,1.499,1.481,1.491,191465.1
2024-01-05 09:00:00,1.491,1.511,1.491,1.506,270499.1
2024-01-05 10:00:00,1.507,1.509,1.47,1.485,296333.9
2024-01-05 11:00:00,1.486,1.499,1.473,1.475,323644.7
2024-01-05 12:00:00,1.476,1.492,1.462,1.485,338357.5
2024-01-05 13:00:00,1.486,1.497,1.475,1.484,331730.1
2024-01-05 14:00:00,1.483,1.488,1.443,1.448,582481.8
2024-01-05 15:00:00,1.448,1.463,1.429,1.444,476237.2
2024-01-05 16:00:00,1.443,1.455,1.421,1.426,460025.9
2024-01-05 17:00:00,1.426,1.446,1.403,1.439,712022.1
2024-01-05 18:00:00,1.44,1.45,1.434,1.444,155536.5
2024-01-05 19:00:00,1.445,1.456,1.439,1.443,203365.5
2024-01-05 20:00:00,1.443,1.46,1.436,1.453,263877.8
2024-01-05 21:00:00,1.453,1.458,1.439,1.456,174647.6
2024-01-05 22:00:00,1.456,1.462,1.452,1.454,194852.1
2024-01-05 23:00:00,1.455,1.481,1.452,1.481,194953.1
2024-01-06 00:00:00,1.481,1.485,1.46,1.47,256395.8
2024-01-06 01:00:00,1.471,1.471,1.448,1.455,204841.4
2024-01-06 02:00:00,1.455,1.458,1.444,1.456,165080.8
2024-01-06 03:00:00,1.456,1.458,1.438,1.441,224865.8
2024-01-06 04:00:00,1.442,1.449,1.413,1.414,221864.2
2024-01-06 05:00:00,1.414,1.418,1.368,1.381,770160.0
2024-01-06 06:00:00,1.382,1.39,1.342,1.358,845342.9
2024-01-06 07:00:00,1.357,1.385,1.344,1.384,485729.2
2024-01-06 08:00:00,1.384,1.392,1.371,1.391,237755.1
2024-01-06 09:00:00,1.391,1.399,1.384,1.39,176809.5
2024-01-06 10:00:00,1.391,1.4,1.385,1.399,130914.0
2024-01-06 11:00:00,1.398,1.411,1.392,1.408,140187.3
2024-01-06 12:00:00,1.409,1.414,1.392,1.397,213501.3
2024-01-06 13:00:00,1.397,1.408,1.391,1.405,171998.4
