datetime,open,high,low,close,volume
2023-12-31 16:00:00,116.29,116.72,113.61,114.1,194708.1
2023-12-31 20:00:00,114.11,114.2,106.0,108.78,206813.5
2024-01-01 00:00:00,108.77,111.75,108.58,108.84,101843.8
2024-01-01 04:00:00,108.83,109.81,107.73,109.75,87426.0
2024-01-01 08:00:00,109.73,110.8,109.39,110.75,57746.9
2024-01-01 12:00:00,110.76,112.98,110.03,112.55,94764.1
2024-01-01 16:00:00,112.56,114.55,111.96,114.0,100277.8
2024-01-01 20:00:00,113.99,116.35,113.27,116.32,97803.7
2024-01-02 00:00:00,116.32,120.07,115.7,118.2,206960.9
2024-01-02 04:00:00,118.21,118.97,115.79,116.11,92363.9
2024-01-02 08:00:00,116.11,119.04,115.36,116.26,98620.6
2024-01-02 12:00:00,116.27,116.84,111.63,112.77,136326.1
2024-01-02 16:00:00,112.78,113.52,111.03,111.76,112883.1
2024-01-02 20:00:00,111.77,112.69,108.17,110.4,184906.0
2024-01-03 00:00:00,110.39,111.81,109.93,110.67,134523.2
2024-01-03 04:00:00,110.67,113.02,110.53,111.15,108286.2
2024-01-03 08:00:00,111.15,113.21,107.55,108.48,187585.8
2024-01-03 12:00:00,108.48,108.51,88.87,101.68,670061.0
2024-01-03 16:00:00,101.7,102.53,98.45,100.17,183207.1
2024-01-03 20:00:00,100.16,103.52,100.11,102.54,97524.0
2024-01-04 00:00:00,102.53,103.95,101.41,103.34,99612.8
2024-01-04 04:00:00,103.36,103.91,102.15,102.36,72963.8
2024-01-04 08:00:00,102.37,103.15,101.08,102.75,91069.6
2024-01-04 12:00:00,102.76,105.27,102.23,105.12,129187.2
2024-01-04 16:00:00,105.12,105.41,103.75,104.22,74465.8
2024-01-04 20:00:00,104.22,105.53,103.42,103.81,51055.5
2024-01-05 00:00:00,103.82,108.61,101.51,102.82,278487.3
2024-01-05 04:00:00,102.79,105.13,102.06,104.35,85672.1
2024-01-05 08:00:00,104.35,105.8,102.14,102.6,99795.7
2024-01-05 12:00:00,102.58,103.25,99.71,101.79,146783.5
2024-01-05 16:00:00,101.77,102.44,98.98,100.96,104330.1
2024-01-05 20:00:00,100.96,103.05,100.83,102.94,75501.4
2024-01-06 00:00:00,102.94,103.29,101.02,101.41,58992.4
2024-01-06 04:00:00,101.41,101.74,96.83,98.95,153945.3
2024-01-06 08:00:00,98.94,100.01,98.27,99.85,46476.1
2024-01-06 12:00:00,99.85,100.56,98.47,99.91,57148.8
2024-01-06 16:00:00,99.91,100.87,99.25,99.93,48757.5
2024-01-06 20:00:00,99.95,100.27,98.02,99.38,45477.0
2024-01-07 00:00:00,99.38,100.54,98.56,99.27,59056.7
2024-01-07 04:00:00,99.27,100.25,98.94,99.89,46603.2
2024-01-07 08:00:00,99.91,100.19,97.41,98.42,97841.5
2024-01-07 12:00:00,98.41,99.68,97.32,97.86,59186.2
2024-01-07 16:00:00,97.85,98.59,96.13,98.4,69317.8
2024-01-07 20:00:00,98.4,98.57,93.55,94.86,120611.3
2024-01-08 00:00:00,94.87,94.94,88.33,90.47,205877.4
2024-01-08 04:00:00,90.47,94.99,90.18,93.75,131016.4
2024-01-08 08:00:00,93.75,95.39,93.46,95.28,65915.0
2024-01-08 12:00:00,95.29,97.21,94.91,95.57,138600.2
2024-01-08 16:00:00,95.58,100.34,94.6,99.36,154605.5
2024-01-08 20:00:00,99.37,99.7,97.79,99.01,78811.4
2024-01-09 00:00:00,99.02,99.26,96.35,97.07,92729.8
2024-01-09 04:00:00,97.07,98.3,96.76,97.35,47337.6
2024-01-09 08:00:00,97.34,97.43,94.59,95.2,75447.2
2024-01-09 12:00:00,95.21,95.69,91.82,93.45,147290.9
2024-01-09 16:00:00,93.45,95.32,92.53,94.26,79477.2
2024-01-09 20:00:00,94.27,96.9,92.28,96.43,223262.5
2024-01-10 00:00:00,96.43,99.08,96.0,97.97,96337.8
2024-01-10 04:00:00,97.97,99.46,97.39,98.63,61633.6
2024-01-10 08:00:00,98.64,103.83,97.41,101.47,267813.5
2024-01-10 12:00:00,101.48,102.7,97.6,102.44,224468.2
2024-01-10 16:00:00,102.38,103.77,100.21,103.57,122764.0
2024-01-10 20:00:00,103.58,110.21,100.58,106.99,472573.0
2024-01-11 00:00:00,106.99,110.78,106.16,109.68,178605.1
2024-01-11 04:00:00,109.67,111.3,107.56,108.85,134113.5
2024-01-11 08:00:00,108.84,116.54,108.7,116.42,207690.0
2024-01-11 12:00:00,116.41,118.1,108.01,109.47,478202.7
2024-01-11 16:00:00,109.46,110.69,106.47,110.27,222203.4
2024-01-11 20:00:00,110.26,110.89,107.73,109.58,141867.1
2024-01-12 00:00:00,109.57,110.03,107.42,108.31,86145.5
2024-01-12 04:00:00,108.3,110.41,107.56,109.13,83480.1
2024-01-12 08:00:00,109.14,111.5,107.45,111.47,106905.4
2024-01-12 12:00:00,111.46,113.91,108.09,109.01,256989.9
2024-01-12 16:00:00,108.99,110.3,103.58,105.69,207522.3
2024-01-12 20:00:00,105.67,106.38,99.21,102.99,171924.4
2024-01-13 00:00:00,102.98,103.7,100.62,102.87,71930.9
2024-01-13 04:00:00,102.9,104.74,102.61,104.28,44104.7
2024-01-13 08:00:00,104.3,105.46,103.54,103.97,54519.6
2024-01-13 12:00:00,103.97,106.14,103.8,105.84,87655.7
2024-01-13 16:00:00,105.83,107.69,105.28,106.48,67111.9
