datetime,open,high,low,close,volume
2023-12-31 16:00:00,9.827,9.999,9.773,9.929,219613.4
2023-12-31 20:00:00,9.928,9.992,9.3,9.654,384239.9
2024-01-01 00:00:00,9.654,9.791,9.561,9.578,251679.0
2024-01-01 04:00:00,9.576,9.765,9.461,9.709,251282.5
2024-01-01 08:00:00,9.71,9.988,9.679,9.963,189408.6
2024-01-01 12:00:00,9.965,10.488,9.892,10.481,801197.9
2024-01-01 16:00:00,10.483,10.547,10.211,10.317,449304.8
2024-01-01 20:00:00,10.314,10.36,10.033,10.183,319087.0
2024-01-02 00:00:00,10.183,10.385,10.062,10.182,262656.6
2024-01-02 04:00:00,10.181,10.226,10.069,10.112,208794.1
2024-01-02 08:00:00,10.112,10.488,10.085,10.314,393760.4
2024-01-02 12:00:00,10.313,10.337,9.7,9.825,516272.9
2024-01-02 16:00:00,9.825,9.977,9.752,9.933,299377.4
2024-01-02 20:00:00,9.932,9.975,9.802,9.933,186318.9
2024-01-03 00:00:00,9.933,10.077,9.881,9.895,187236.2
2024-01-03 04:00:00,9.895,10.219,9.873,10.054,256709.5
2024-01-03 08:00:00,10.055,10.133,9.568,9.655,386646.8
2024-01-03 12:00:00,9.656,9.661,7.326,8.869,1961548.0
2024-01-03 16:00:00,8.871,8.888,8.486,8.626,421313.0
2024-01-03 20:00:00,8.626,8.832,8.613,8.706,195428.0
2024-01-04 00:00:00,8.707,8.95,8.629,8.861,271614.0
2024-01-04 04:00:00,8.869,9.183,8.836,9.004,280749.8
2024-01-04 08:00:00,9.008,9.146,8.886,8.915,253713.3
2024-01-04 12:00:00,8.918,9.256,8.871,9.22,318157.0
2024-01-04 16:00:00,9.219,9.258,9.026,9.088,179786.1
2024-01-04 20:00:00,9.09,9.231,9.019,9.167,141896.1
2024-01-05 00:00:00,9.167,9.292,8.744,8.904,325637.8
2024-01-05 04:00:00,8.902,8.974,8.739,8.806,190282.4
2024-01-05 08:00:00,8.807,8.96,8.626,8.684,195148.2
2024-01-05 12:00:00,8.685,9.001,8.635,8.964,512144.9
2024-01-05 16:00:00,8.967,9.09,8.748,8.893,554952.1
2024-01-05 20:00:00,8.894,9.025,8.837,9.003,235337.3
2024-01-06 00:00:00,9.004,9.009,8.773,8.808,162293.5
2024-01-06 04:00:00,8.808,8.837,8.193,8.444,341170.9
2024-01-06 08:00:00,8.444,8.636,8.382,8.578,147786.8
2024-01-06 12:00:00,8.578,8.802,8.445,8.738,154971.0
2024-01-06 16:00:00,8.739,8.783,8.542,8.589,142663.8
2024-01-06 20:00:00,8.589,8.655,8.46,8.579,122265.0
2024-01-07 00:00:00,8.577,8.734,8.517,8.63,121275.4
2024-01-07 04:00:00,8.631,8.711,8.596,8.623,94044.6
2024-01-07 08:00:00,8.622,8.687,8.404,8.493,178167.4
2024-01-07 12:00:00,8.492,8.534,8.312,8.358,176502.9
2024-01-07 16:00:00,8.358,8.4,8.211,8.346,147975.8
2024-01-07 20:00:00,8.346,8.358,7.941,8.056,315053.7
2024-01-08 00:00:00,8.057,8.107,7.527,7.687,567244.2
2024-01-08 04:00:00,7.687,8.049,7.614,7.933,218009.9
2024-01-08 08:00:00,7.932,8.15,7.859,8.13,178366.1
2024-01-08 12:00:00,8.127,8.64,8.127,8.543,503019.3
2024-01-08 16:00:00,8.546,8.679,8.323,8.659,378151.7
2024-01-08 20:00:00,8.659,8.708,8.489,8.657,174143.0
2024-01-09 00:00:00,8.657,8.726,8.442,8.567,213563.7
2024-01-09 04:00:00,8.564,8.709,8.482,8.499,113511.9
2024-01-09 08:00:00,8.499,8.535,8.181,8.235,234040.5
2024-01-09 12:00:00,8.235,8.29,7.857,8.038,447545.5
2024-01-09 16:00:00,8.036,8.112,7.924,8.022,178406.2
2024-01-09 20:00:00,8.025,8.094,7.763,8.091,820103.0
2024-01-10 00:00:00,8.092,8.312,8.05,8.242,210712.5
2024-01-10 04:00:00,8.241,8.371,8.182,8.246,212149.3
2024-01-10 08:00:00,8.246,8.445,8.079,8.351,306175.6
2024-01-10 12:00:00,8.349,8.357,7.965,8.299,367743.8
2024-01-10 16:00:00,8.297,8.6,8.266,8.551,310857.4
2024-01-10 20:00:00,8.549,9.543,8.366,9.226,964080.9
2024-01-11 00:00:00,9.228,9.325,9.106,9.287,261291.1
2024-01-11 04:00:00,9.287,9.309,8.987,9.233,218589.6
2024-01-11 08:00:00,9.23,9.561,9.186,9.484,240027.0
2024-01-11 12:00:00,9.485,9.761,9.191,9.35,596705.6
2024-01-11 16:00:00,9.352,9.641,9.125,9.6,341998.0
2024-01-11 20:00:00,9.596,9.638,9.34,9.504,152998.9
2024-01-12 00:00:00,9.504,9.591,9.358,9.492,177329.4
2024-01-12 04:00:00,9.49,9.743,9.479,9.667,202494.8
2024-01-12 08:00:00,9.665,9.863,9.474,9.638,318716.9
2024-01-12 12:00:00,9.64,9.764,9.161,9.207,460735.5
