datetime,open,high,low,close,volume
2023-12-31 16:00:00,10.879,10.99,10.864,10.901,1366747.68
2023-12-31 20:00:00,10.902,10.908,10.3,10.611,3448991.19
2024-01-01 00:00:00,10.612,10.758,10.553,10.58,1553048.16
2024-01-01 04:00:00,10.58,10.708,10.456,10.708,1384544.84
2024-01-01 08:00:00,10.708,10.886,10.693,10.88,1458936.2
2024-01-01 12:00:00,10.88,10.984,10.87,10.95,1971077.05
2024-01-01 16:00:00,10.952,11.177,10.926,11.175,2315158.91
2024-01-01 20:00:00,11.176,11.217,11.042,11.215,1846688.98
2024-01-02 00:00:00,11.215,11.355,11.122,11.325,2476108.4
2024-01-02 04:00:00,11.325,11.34,11.226,11.323,1341999.64
2024-01-02 08:00:00,11.323,11.437,11.262,11.32,2568650.22
2024-01-02 12:00:00,11.319,11.405,10.96,11.073,3623037.56
2024-01-02 16:00:00,11.073,11.196,10.989,11.079,2080428.03
2024-01-02 20:00:00,11.079,11.196,10.931,10.967,1918694.67
2024-01-03 00:00:00,10.968,11.204,10.939,11.071,2354410.47
2024-01-03 04:00:00,11.07,11.299,11.05,11.147,2041407.39
2024-01-03 08:00:00,11.147,11.395,10.74,10.908,5284503.97
2024-01-03 12:00:00,10.908,10.915,8.76,10.216,16429460.54
2024-01-03 16:00:00,10.217,10.269,9.671,9.953,4591486.6
2024-01-03 20:00:00,9.954,10.087,9.863,9.922,2243784.35
2024-01-04 00:00:00,9.921,10.034,9.738,10.028,2539015.82
2024-01-04 04:00:00,10.028,10.084,9.907,9.914,2134525.93
2024-01-04 08:00:00,9.916,10.058,9.852,10.013,2873142.64
2024-01-04 12:00:00,10.013,10.292,9.985,10.272,3674179.62
2024-01-04 16:00:00,10.271,10.352,10.169,10.247,2681081.58
2024-01-04 20:00:00,10.248,10.338,10.111,10.265,2521107.29
2024-01-05 00:00:00,10.264,10.34,9.812,10.045,4752868.53
2024-01-05 04:00:00,10.046,10.187,9.981,10.145,2046594.72
2024-01-05 08:00:00,10.146,10.744,10.138,10.534,7860969.55
2024-01-05 12:00:00,10.534,10.54,9.927,9.981,6586310.93
2024-01-05 16:00:00,9.98,10.077,9.71,10.017,4415446.28
2024-01-05 20:00:00,10.017,10.326,10.017,10.318,2386216.85
2024-01-06 00:00:00,10.317,10.405,10.056,10.084,2518689.44
2024-01-06 04:00:00,10.083,10.113,9.513,9.757,5274898.85
