datetime,open,high,low,close,volume
2023-12-31 16:00:00,0.1873,0.1939,0.1866,0.1933,48398990.0
2023-12-31 20:00:00,0.1934,0.198,0.1846,0.1949,106856857.0
2024-01-01 00:00:00,0.1949,0.199,0.1915,0.1916,69586743.0
2024-01-01 04:00:00,0.1916,0.193,0.1885,0.1918,46540321.0
2024-01-01 08:00:00,0.1919,0.1951,0.1901,0.1913,39561885.0
2024-01-01 12:00:00,0.1914,0.1931,0.188,0.1896,42190436.0
2024-01-01 16:00:00,0.1897,0.1945,0.1887,0.1942,33630433.0
2024-01-01 20:00:00,0.1943,0.1952,0.1916,0.1933,28946986.0
2024-01-02 00:00:00,0.1933,0.1989,0.1917,0.1985,52078695.0
2024-01-02 04:00:00,0.1985,0.2032,0.1967,0.2004,79563054.0
2024-01-02 08:00:00,0.2005,0.2076,0.2003,0.2038,115704977.0
2024-01-02 12:00:00,0.2038,0.2187,0.203,0.2167,347564505.0
2024-01-02 16:00:00,0.2167,0.2178,0.2091,0.2116,180669147.0
2024-01-02 20:00:00,0.2117,0.2163,0.2096,0.2147,121608530.0
2024-01-03 00:00:00,0.2147,0.2181,0.2043,0.205,162015684.0
2024-01-03 04:00:00,0.2049,0.2164,0.2043,0.2114,160788595.0
2024-01-03 08:00:00,0.2115,0.215,0.1999,0.2019,177814224.0
2024-01-03 12:00:00,0.202,0.2021,0.1631,0.1856,480177390.0
2024-01-03 16:00:00,0.1856,0.1865,0.1748,0.1792,176616753.0
2024-01-03 20:00:00,0.1792,0.1834,0.1783,0.1801,68636832.0
2024-01-04 00:00:00,0.1801,0.1816,0.1753,0.1814,57422007.0
2024-01-04 04:00:00,0.1814,0.1839,0.1798,0.1806,52282956.0
2024-01-04 08:00:00,0.1807,0.1824,0.1769,0.1809,71301531.0
2024-01-04 12:00:00,0.1808,0.1882,0.1801,0.1853,104701839.0
2024-01-04 16:00:00,0.1854,0.1868,0.1836,0.1848,63423530.0
2024-01-04 20:00:00,0.1848,0.1883,0.184,0.1855,48836723.0
2024-01-05 00:00:00,0.1856,0.188,0.1751,0.1794,87945704.0
2024-01-05 04:00:00,0.1794,0.1815,0.1783,0.1789,40718416.0
2024-01-05 08:00:00,0.179,0.181,0.1733,0.1754,64128515.0
2024-01-05 12:00:00,0.1754,0.1783,0.1706,0.1749,109916821.0
2024-01-05 16:00:00,0.1749,0.1778,0.1721,0.1748,80244904.0
2024-01-05 20:00:00,0.1747,0.1793,0.1747,0.1793,44761070.0
2024-01-06 00:00:00,0.1793,0.1793,0.1753,0.1761,31055877.0
2024-01-06 04:00:00,0.1762,0.1768,0.1651,0.1704,128110345.0
2024-01-06 08:00:00,0.1703,0.1729,0.1691,0.1726,35267637.0
2024-01-06 12:00:00,0.1726,0.1866,0.171,0.184,142187077.0
2024-01-06 16:00:00,0.184,0.1912,0.18,0.1812,161424540.0
2024-01-06 20:00:00,0.1811,0.1827,0.1775,0.1803,55393142.0
2024-01-07 00:00:00,0.1803,0.2037,0.1798,0.1954,251766593.0
2024-01-07 04:00:00,0.1953,0.2004,0.1903,0.1937,159353247.0
2024-01-07 08:00:00,0.1937,0.1983,0.187,0.1903,166755411.0
2024-01-07 12:00:00,0.1903,0.1988,0.1876,0.1888,206361225.0
2024-01-07 16:00:00,0.1888,0.1895,0.1801,0.1842,117582032.0
2024-01-07 20:00:00,0.1842,0.1846,0.1741,0.1767,105575292.0
2024-01-08 00:00:00,0.1767,0.1779,0.166,0.1697,147527668.0
2024-01-08 04:00:00,0.1697,0.178,0.1685,0.1758,116782629.0
2024-01-08 08:00:00,0.1757,0.1798,0.1736,0.1795,76041550.0
2024-01-08 12:00:00,0.1795,0.1826,0.1772,0.1782,103075401.0
2024-01-08 16:00:00,0.1782,0.1839,0.1761,0.1835,85889722.0
2024-01-08 20:00:00,0.1834,0.1838,0.1799,0.1824,55591710.0
2024-01-09 00:00:00,0.1824,0.1825,0.1768,0.1784,61851882.0
2024-01-09 04:00:00,0.1784,0.181,0.1781,0.1789,45076671.0
2024-01-09 08:00:00,0.1789,0.1789,0.1711,0.1733,83337533.0
2024-01-09 12:00:00,0.1734,0.1741,0.1642,0.1693,123105220.0
2024-01-09 16:00:00,0.1694,0.1701,0.1649,0.1671,52741516.0
2024-01-09 20:00:00,0.1672,0.1712,0.1638,0.1707,116414971.0
2024-01-10 00:00:00,0.1706,0.1774,0.1694,0.1753,81771172.0
2024-01-10 04:00:00,0.1752,0.1773,0.1722,0.1732,56876547.0
2024-01-10 08:00:00,0.1731,0.177,0.1703,0.1758,75245168.0
2024-01-10 12:00:00,0.1757,0.176,0.1667,0.1738,113919234.0
2024-01-10 16:00:00,0.1738,0.1771,0.1715,0.1764,66486668.0
2024-01-10 20:00:00,0.1763,0.1901,0.1706,0.1855,126191093.0
