datetime,open,high,low,close,volume
2023-12-31 16:00:00,0.63,0.631,0.626,0.628,10679456.6
2023-12-31 20:00:00,0.628,0.628,0.586,0.605,32053993.2
2024-01-01 00:00:00,0.605,0.615,0.598,0.601,18279139.5
2024-01-01 04:00:00,0.601,0.606,0.593,0.605,13333528.7
2024-01-01 08:00:00,0.605,0.611,0.602,0.61,10471817.6
2024-01-01 12:00:00,0.611,0.622,0.608,0.62,14355041.9
2024-01-01 16:00:00,0.62,0.628,0.618,0.626,13008736.7
2024-01-01 20:00:00,0.627,0.631,0.623,0.631,9385519.3
2024-01-02 00:00:00,0.631,0.645,0.626,0.641,21673163.0
2024-01-02 04:00:00,0.64,0.648,0.636,0.64,13142009.7
2024-01-02 08:00:00,0.64,0.648,0.635,0.641,13703840.9
2024-01-02 12:00:00,0.642,0.642,0.621,0.626,19365953.3
2024-01-02 16:00:00,0.625,0.635,0.619,0.633,14888731.5
2024-01-02 20:00:00,0.634,0.636,0.624,0.63,14130670.6
2024-01-03 00:00:00,0.63,0.638,0.628,0.628,14654921.4
2024-01-03 04:00:00,0.629,0.639,0.627,0.63,11865137.8
2024-01-03 08:00:00,0.63,0.639,0.604,0.611,29002114.2
2024-01-03 12:00:00,0.612,0.612,0.468,0.563,105844486.1
2024-01-03 16:00:00,0.563,0.574,0.545,0.553,34587570.7
2024-01-03 20:00:00,0.554,0.598,0.552,0.578,36422181.0
2024-01-04 00:00:00,0.578,0.585,0.567,0.58,20549870.4
2024-01-04 04:00:00,0.581,0.596,0.578,0.588,14578557.7
2024-01-04 08:00:00,0.588,0.595,0.579,0.592,19093456.8
2024-01-04 12:00:00,0.593,0.595,0.581,0.591,17578973.1
2024-01-04 16:00:00,0.59,0.591,0.58,0.583,13373229.4
2024-01-04 20:00:00,0.584,0.591,0.581,0.583,11765116.3
2024-01-05 00:00:00,0.583,0.593,0.558,0.573,27969760.0
2024-01-05 04:00:00,0.574,0.582,0.57,0.578,10606519.8
2024-01-05 08:00:00,0.578,0.586,0.563,0.565,15987226.6
2024-01-05 12:00:00,0.566,0.574,0.553,0.562,38284517.4
2024-01-05 16:00:00,0.562,0.568,0.55,0.561,24759966.7
2024-01-05 20:00:00,0.561,0.577,0.56,0.576,12722507.8
2024-01-06 00:00:00,0.575,0.576,0.56,0.566,11885216.1
2024-01-06 04:00:00,0.566,0.567,0.528,0.541,33427469.7
2024-01-06 08:00:00,0.54,0.547,0.536,0.541,12254502.8
2024-01-06 12:00:00,0.542,0.55,0.535,0.548,17352872.4
2024-01-06 16:00:00,0.547,0.552,0.543,0.547,12389124.8
2024-01-06 20:00:00,0.547,0.549,0.536,0.545,15239723.6
2024-01-07 00:00:00,0.544,0.55,0.541,0.547,12918594.3
2024-01-07 04:00:00,0.548,0.555,0.547,0.551,11949162.3
2024-01-07 08:00:00,0.552,0.554,0.538,0.54,18816986.3
2024-01-07 12:00:00,0.541,0.549,0.526,0.53,18615872.5
2024-01-07 16:00:00,0.53,0.534,0.522,0.532,17541936.2
2024-01-07 20:00:00,0.532,0.534,0.509,0.516,27144695.5
2024-01-08 00:00:00,0.517,0.52,0.486,0.501,46447662.0
2024-01-08 04:00:00,0.502,0.519,0.499,0.513,21556681.4
2024-01-08 08:00:00,0.514,0.524,0.51,0.523,16186285.2
2024-01-08 12:00:00,0.523,0.534,0.523,0.53,32266277.0
2024-01-08 16:00:00,0.531,0.551,0.527,0.549,31895208.5
2024-01-08 20:00:00,0.549,0.551,0.545,0.549,12940110.9
2024-01-09 00:00:00,0.548,0.551,0.536,0.538,19465044.6
2024-01-09 04:00:00,0.539,0.545,0.531,0.531,15549006.6
2024-01-09 08:00:00,0.531,0.534,0.52,0.524,20093674.1
2024-01-09 12:00:00,0.524,0.526,0.5,0.509,41499175.1
2024-01-09 16:00:00,0.508,0.51,0.498,0.505,24553787.4
2024-01-09 20:00:00,0.504,0.522,0.494,0.521,45005033.8
2024-01-10 00:00:00,0.521,0.531,0.518,0.525,21178503.2
2024-01-10 04:00:00,0.526,0.533,0.522,0.526,16389727.9
2024-01-10 08:00:00,0.527,0.542,0.522,0.534,28716249.1
2024-01-10 12:00:00,0.534,0.534,0.509,0.528,47584427.6
2024-01-10 16:00:00,0.528,0.536,0.514,0.534,35122946.8
2024-01-10 20:00:00,0.533,0.578,0.52,0.565,56190773.1
2024-01-11 00:00:00,0.565,0.58,0.56,0.578,28195710.2
2024-01-11 04:00:00,0.578,0.584,0.562,0.571,25856108.0
2024-01-11 08:00:00,0.572,0.589,0.571,0.586,33136280.6
2024-01-11 12:00:00,0.586,0.594,0.563,0.569,59699953.1
2024-01-11 16:00:00,0.569,0.582,0.557,0.582,32662076.9
2024-01-11 20:00:00,0.582,0.588,0.574,0.584,20384712.5
2024-01-12 00:00:00,0.584,0.588,0.573,0.58,21126796.0
2024-01-12 04:00:00,0.581,0.596,0.58,0.584,22526958.7
2024-01-12 08:00:00,0.584,0.594,0.576,0.592,28159340.2
2024-01-12 12:00:00,0.591,0.605,0.578,0.581,45120101.3
2024-01-12 16:00:00,0.581,0.59,0.553,0.565,47148573.1
2024-01-12 20:00:00,0.565,0.57,0.528,0.552,39115511.3
2024-01-13 00:00:00,0.551,0.554,0.533,0.546,24924847.8
2024-01-13 04:00:00,0.546,0.555,0.545,0.55,12944949.7
2024-01-13 08:00:00,0.55,0.554,0.545,0.551,19914483.7
2024-01-13 12:00:00,0.551,0.557,0.548,0.556,17887790.1
2024-01-13 16:00:00,0.555,0.559,0.55,0.558,14933397.9
2024-01-13 20:00:00,0.557,0.566,0.555,0.559,13759791.3
2024-01-14 00:00:00,0.559,0.561,0.55,0.552,14975941.9
2024-01-14 04:00:00,0.551,0.557,0.547,0.556,10405646.3
2024-01-14 08:00:00,0.556,0.558,0.551,0.552,9378774.5
2024-01-14 12:00:00,0.552,0.556,0.549,0.552,12820410.8
2024-01-14 16:00:00,0.553,0.554,0.537,0.539,18754532.1
2024-01-14 20:00:00,0.538,0.548,0.531,0.533,24789996.2
2024-01-15 00:00:00,0.533,0.547,0.531,0.543,14483420.6
2024-01-15 04:00:00,0.544,0.549,0.54,0.544,14274022.1
2024-01-15 08:00:00,0.544,0.548,0.54,0.546,12993137.9
2024-01-15 12:00:00,0.546,0.548,0.533,0.535,24664552.1
2024-01-15 16:00:00,0.535,0.55,0.535,0.545,11406125.8
2024-01-15 20:00:00,0.545,0.548,0.535,0.541,12390027.3
2024-01-16 00:00:00,0.54,0.553,0.54,0.551,12251413.6
2024-01-16 04:00:00,0.551,0.555,0.547,0.552,8463793.7
2024-01-16 08:00:00,0.553,0.557,0.549,0.552,9343152.1
2024-01-16 12:00:00,0.552,0.555,0.536,0.547,26656968.0
2024-01-16 16:00:00,0.547,0.551,0.543,0.548,15472360.0
2024-01-16 20:00:00,0.549,0.556,0.548,0.552,12307127.6
2024-01-17 00:00:00,0.551,0.554,0.546,0.547,14505264.5
2024-01-17 04:00:00,0.547,0.548,0.535,0.537,13154469.8
2024-01-17 08:00:00,0.536,0.55,0.534,0.548,17613188.1
2024-01-17 12:00:00,0.548,0.552,0.541,0.544,27591407.3
2024-01-17 16:00:00,0.545,0.551,0.54,0.544,17819606.5
2024-01-17 20:00:00,0.545,0.549,0.538,0.541,12470842.3
2024-01-18 00:00:00,0.541,0.552,0.539,0.544,18711156.6
2024-01-18 04:00:00,0.544,0.549,0.539,0.546,10357069.2
2024-01-18 08:00:00,0.547,0.549,0.536,0.541,17744677.0
2024-01-18 12:00:00,0.541,0.542,0.53,0.535,23115328.5
2024-01-18 16:00:00,0.534,0.535,0.5,0.505,48540383.1
2024-01-18 20:00:00,0.504,0.513,0.503,0.511,19096991.2
2024-01-19 00:00:00,0.51,0.513,0.499,0.509,20485990.1
2024-01-19 04:00:00,0.508,0.517,0.506,0.513,10795468.1
2024-01-19 08:00:00,0.512,0.52,0.509,0.517,10514658.3
2024-01-19 12:00:00,0.517,0.52,0.506,0.507,27925258.1
2024-01-19 16:00:00,0.507,0.526,0.494,0.523,53429949.4
2024-01-19 20:00:00,0.523,0.532,0.517,0.531,17130726.7
2024-01-20 00:00:00,0.531,0.534,0.521,0.53,18030805.6
2024-01-20 04:00:00,0.529,0.536,0.526,0.531,12018173.4
2024-01-20 08:00:00,0.53,0.535,0.524,0.529,13910095.1
2024-01-20 12:00:00,0.528,0.53,0.522,0.525,12937552.4
2024-01-20 16:00:00,0.525,0.528,0.522,0.522,11569017.2
2024-01-20 20:00:00,0.522,0.529,0.521,0.528,9785852.9
2024-01-21 00:00:00,0.527,0.533,0.524,0.531,14936475.2
2024-01-21 04:00:00,0.531,0.531,0.525,0.529,6899926.4
2024-01-21 08:00:00,0.529,0.537,0.528,0.532,8468860.4
2024-01-21 12:00:00,0.532,0.542,0.532,0.541,14035219.4
2024-01-21 16:00:00,0.54,0.544,0.537,0.541,13439386.8
2024-01-21 20:00:00,0.54,0.542,0.533,0.536,13158235.4
2024-01-22 00:00:00,0.535,0.538,0.519,0.525,28390729.5
2024-01-22 04:00:00,0.524,0.532,0.517,0.527,13150497.6
2024-01-22 08:00:00,0.526,0.527,0.504,0.51,31987103.2
2024-01-22 12:00:00,0.509,0.514,0.498,0.505,28278791.4
2024-01-22 16:00:00,0.505,0.509,0.491,0.501,29042709.9
2024-01-22 20:00:00,0.5,0.509,0.497,0.5,16842637.2
2024-01-23 00:00:00,0.501,0.509,0.498,0.507,12400080.8
2024-01-23 04:00:00,0.507,0.51,0.497,0.499,8147336.7
2024-01-23 08:00:00,0.499,0.501,0.468,0.476,64049160.1
2024-01-23 12:00:00,0.476,0.479,0.459,0.472,41102086.3
2024-01-23 16:00:00,0.471,0.473,0.458,0.458,34440061.8
2024-01-23 20:00:00,0.459,0.471,0.458,0.469,24032759.0
2024-01-24 00:00:00,0.469,0.472,0.46,0.461,19502350.4
2024-01-24 04:00:00,0.462,0.47,0.46,0.466,18284525.2
2024-01-24 08:00:00,0.467,0.473,0.461,0.465,36167164.7
2024-01-24 12:00:00,0.466,0.468,0.433,0.446,106668893.7
2024-01-24 16:00:00,0.445,0.449,0.437,0.44,39118493.9
2024-01-24 20:00:00,0.44,0.449,0.435,0.448,30962309.7
2024-01-25 00:00:00,0.447,0.449,0.438,0.442,28108920.4
2024-01-25 04:00:00,0.442,0.443,0.431,0.44,32143531.2
2024-01-25 08:00:00,0.44,0.454,0.437,0.444,37147750.9
2024-01-25 12:00:00,0.445,0.447,0.438,0.442,44024446.1
2024-01-25 16:00:00,0.442,0.452,0.439,0.45,34075429.9
2024-01-25 20:00:00,0.451,0.455,0.449,0.453,20163419.6
2024-01-26 00:00:00,0.454,0.465,0.446,0.464,31665704.4
2024-01-26 04:00:00,0.464,0.466,0.455,0.457,19817390.7
2024-01-26 08:00:00,0.457,0.468,0.455,0.463,30913061.3
2024-01-26 12:00:00,0.464,0.465,0.456,0.461,31115207.7
2024-01-26 16:00:00,0.462,0.466,0.456,0.459,29968987.2
2024-01-26 20:00:00,0.459,0.464,0.455,0.462,14943861.9
2024-01-27 00:00:00,0.462,0.467,0.46,0.467,17354991.4
2024-01-27 04:00:00,0.466,0.468,0.457,0.461,14032240.0
2024-01-27 08:00:00,0.461,0.472,0.459,0.468,26788341.5
2024-01-27 12:00:00,0.467,0.477,0.466,0.473,21005785.2
2024-01-27 16:00:00,0.472,0.479,0.471,0.478,18840852.2
2024-01-27 20:00:00,0.477,0.483,0.476,0.479,11908042.2
2024-01-28 00:00:00,0.478,0.481,0.474,0.477,21018828.9
2024-01-28 04:00:00,0.476,0.478,0.469,0.469,14143130.7
2024-01-28 08:00:00,0.469,0.475,0.466,0.47,16594670.7
2024-01-28 12:00:00,0.471,0.472,0.465,0.468,33304841.5
2024-01-28 16:00:00,0.469,0.471,0.464,0.467,28167452.8
2024-01-28 20:00:00,0.467,0.473,0.461,0.469,17346241.5
2024-01-29 00:00:00,0.468,0.475,0.466,0.469,19411067.8
2024-01-29 04:00:00,0.47,0.47,0.463,0.465,18779426.3
2024-01-29 08:00:00,0.465,0.471,0.462,0.468,25637968.7
2024-01-29 12:00:00,0.469,0.471,0.457,0.468,46688831.8
2024-01-29 16:00:00,0.469,0.482,0.466,0.48,52164422.2
2024-01-29 20:00:00,0.479,0.483,0.477,0.48,21491274.1
2024-01-30 00:00:00,0.48,0.485,0.476,0.478,26659728.2
2024-01-30 04:00:00,0.479,0.486,0.478,0.484,25852256.3
2024-01-30 08:00:00,0.484,0.49,0.481,0.481,34389404.9
2024-01-30 12:00:00,0.482,0.485,0.471,0.485,84474527.2
2024-01-30 16:00:00,0.485,0.488,0.481,0.486,43492271.4
2024-01-30 20:00:00,0.486,0.487,0.475,0.478,38146052.1
2024-01-31 00:00:00,0.478,0.483,0.468,0.48,46617147.0
2024-01-31 04:00:00,0.48,0.484,0.475,0.48,21014994.4
2024-01-31 08:00:00,0.48,0.481,0.459,0.467,62148757.0
2024-01-31 12:00:00,0.466,0.468,0.451,0.46,63814958.0
2024-01-31 16:00:00,0.461,0.464,0.455,0.459,35144258.8
2024-01-31 20:00:00,0.46,0.462,0.45,0.454,35784853.6
2024-02-01 00:00:00,0.455,0.468,0.444,0.445,62360148.8
2024-02-01 04:00:00,0.446,0.448,0.437,0.439,40421296.2
2024-02-01 08:00:00,0.44,0.445,0.436,0.44,27834428.4
2024-02-01 12:00:00,0.44,0.451,0.439,0.445,30779366.7
2024-02-01 16:00:00,0.445,0.45,0.44,0.445,28432540.1
2024-02-01 20:00:00,0.445,0.447,0.443,0.446,11541364.8
2024-02-02 00:00:00,0.446,0.449,0.442,0.444,14961261.8
2024-02-02 04:00:00,0.444,0.449,0.442,0.447,15541411.7
2024-02-02 08:00:00,0.447,0.449,0.442,0.447,17646108.9
2024-02-02 12:00:00,0.447,0.458,0.444,0.457,41101922.3
2024-02-02 16:00:00,0.456,0.46,0.453,0.459,24017887.6
2024-02-02 20:00:00,0.458,0.464,0.456,0.461,14037492.6
2024-02-03 00:00:00,0.462,0.465,0.456,0.458,17759933.5
2024-02-03 04:00:00,0.458,0.461,0.455,0.455,10664980.1
2024-02-03 08:00:00,0.455,0.461,0.455,0.458,11861478.9
2024-02-03 12:00:00,0.458,0.469,0.457,0.466,26416032.1
2024-02-03 16:00:00,0.466,0.5,0.466,0.485,93372615.3
2024-02-03 20:00:00,0.484,0.487,0.476,0.476,26460003.3
2024-02-04 00:00:00,0.476,0.477,0.46,0.462,45209515.3
2024-02-04 04:00:00,0.462,0.463,0.445,0.45,46983028.6
2024-02-04 08:00:00,0.449,0.455,0.444,0.451,35264916.2
2024-02-04 12:00:00,0.452,0.455,0.449,0.452,34753592.6
2024-02-04 16:00:00,0.452,0.457,0.448,0.453,42673875.2
2024-02-04 20:00:00,0.454,0.464,0.45,0.453,41628428.3
2024-02-05 00:00:00,0.453,0.46,0.445,0.459,38644925.5
2024-02-05 04:00:00,0.459,0.467,0.456,0.465,21212959.3
2024-02-05 08:00:00,0.465,0.473,0.463,0.468,30615124.7
2024-02-05 12:00:00,0.469,0.476,0.462,0.465,43340253.8
2024-02-05 16:00:00,0.464,0.474,0.461,0.471,35021083.8
2024-02-05 20:00:00,0.47,0.473,0.463,0.469,22676917.3
2024-02-06 00:00:00,0.469,0.474,0.466,0.473,20400555.7
2024-02-06 04:00:00,0.472,0.476,0.468,0.473,18847141.9
2024-02-06 08:00:00,0.473,0.481,0.468,0.474,36840867.4
2024-02-06 12:00:00,0.474,0.476,0.468,0.474,39093445.4
2024-02-06 16:00:00,0.474,0.477,0.469,0.474,22079290.1
2024-02-06 20:00:00,0.475,0.476,0.465,0.467,14098028.1
2024-02-07 00:00:00,0.467,0.475,0.466,0.473,23879440.9
2024-02-07 04:00:00,0.472,0.483,0.467,0.479,28541460.9
2024-02-07 08:00:00,0.479,0.484,0.474,0.475,20739591.8
2024-02-07 12:00:00,0.475,0.487,0.473,0.479,27431959.9
2024-02-07 16:00:00,0.479,0.487,0.479,0.484,22619721.8
2024-02-07 20:00:00,0.484,0.494,0.482,0.486,20011285.6
2024-02-08 00:00:00,0.485,0.49,0.484,0.486,17338077.2
2024-02-08 04:00:00,0.485,0.486,0.479,0.482,10131318.3
2024-02-08 08:00:00,0.482,0.488,0.481,0.483,12910385.0
2024-02-08 12:00:00,0.483,0.49,0.478,0.486,34797317.9
2024-02-08 16:00:00,0.487,0.488,0.476,0.48,28721538.7
2024-02-08 20:00:00,0.48,0.484,0.479,0.481,11347466.8
2024-02-09 00:00:00,0.48,0.494,0.48,0.488,20025531.5
2024-02-09 04:00:00,0.488,0.496,0.487,0.491,22335782.4
2024-02-09 08:00:00,0.491,0.496,0.486,0.49,18045070.5
2024-02-09 12:00:00,0.49,0.498,0.484,0.491,38097890.1
2024-02-09 16:00:00,0.492,0.498,0.49,0.498,19170723.7
2024-02-09 20:00:00,0.497,0.505,0.497,0.502,16512638.0
2024-02-10 00:00:00,0.502,0.507,0.5,0.507,14290438.6
2024-02-10 04:00:00,0.507,0.509,0.502,0.503,11580064.3
2024-02-10 08:00:00,0.503,0.504,0.489,0.494,24601992.6
2024-02-10 12:00:00,0.493,0.499,0.488,0.496,13610058.5
2024-02-10 16:00:00,0.497,0.498,0.494,0.495,9611775.1
2024-02-10 20:00:00,0.496,0.501,0.493,0.493,14624859.9
2024-02-11 00:00:00,0.494,0.502,0.493,0.5,18484569.8
2024-02-11 04:00:00,0.501,0.504,0.498,0.502,14048629.0
2024-02-11 08:00:00,0.502,0.506,0.501,0.504,11526492.2
2024-02-11 12:00:00,0.504,0.506,0.498,0.5,16214398.7
2024-02-11 16:00:00,0.5,0.502,0.497,0.498,13959413.4
2024-02-11 20:00:00,0.497,0.499,0.489,0.49,18002173.5
2024-02-12 00:00:00,0.491,0.499,0.487,0.495,18901565.9
2024-02-12 04:00:00,0.494,0.503,0.49,0.502,14998719.2
2024-02-12 08:00:00,0.502,0.503,0.487,0.494,18919220.1
2024-02-12 12:00:00,0.494,0.508,0.493,0.505,20278106.8
2024-02-12 16:00:00,0.506,0.537,0.503,0.525,42126409.4
2024-02-12 20:00:00,0.525,0.531,0.519,0.52,20200946.2
2024-02-13 00:00:00,0.52,0.523,0.513,0.514,17016106.7
2024-02-13 04:00:00,0.514,0.521,0.514,0.518,11096449.5
2024-02-13 08:00:00,0.518,0.519,0.512,0.517,16973679.1
2024-02-13 12:00:00,0.517,0.518,0.5,0.511,43422471.2
2024-02-13 16:00:00,0.51,0.516,0.505,0.512,18231626.4
2024-02-13 20:00:00,0.512,0.516,0.509,0.512,8493799.5
2024-02-14 00:00:00,0.512,0.516,0.507,0.515,12127379.1
2024-02-14 04:00:00,0.516,0.518,0.513,0.518,6562066.4
2024-02-14 08:00:00,0.517,0.526,0.516,0.524,18541709.5
2024-02-14 12:00:00,0.524,0.53,0.517,0.526,25522424.6
2024-02-14 16:00:00,0.525,0.527,0.518,0.525,16289114.0
2024-02-14 20:00:00,0.525,0.527,0.522,0.525,8518604.7
2024-02-15 00:00:00,0.524,0.533,0.524,0.531,20616548.6
2024-02-15 04:00:00,0.532,0.533,0.522,0.531,15380556.9
2024-02-15 08:00:00,0.53,0.533,0.525,0.528,15487906.5
2024-02-15 12:00:00,0.527,0.538,0.524,0.531,32605063.8
2024-02-15 16:00:00,0.531,0.54,0.526,0.539,21916060.4
2024-02-15 20:00:00,0.539,0.544,0.532,0.542,22629141.1
2024-02-16 00:00:00,0.543,0.552,0.538,0.549,15168343.2
2024-02-16 04:00:00,0.55,0.555,0.545,0.546,14895663.5
2024-02-16 08:00:00,0.545,0.552,0.538,0.548,22977192.3
2024-02-16 12:00:00,0.547,0.55,0.523,0.532,38497925.3
2024-02-16 16:00:00,0.533,0.536,0.528,0.532,22263839.4
2024-02-16 20:00:00,0.532,0.543,0.531,0.543,11378957.4
2024-02-17 00:00:00,0.543,0.544,0.53,0.536,17728555.2
2024-02-17 04:00:00,0.536,0.537,0.532,0.536,11577969.2
2024-02-17 08:00:00,0.537,0.537,0.522,0.528,26492688.2
2024-02-17 12:00:00,0.528,0.53,0.51,0.52,43649664.4
2024-02-17 16:00:00,0.521,0.523,0.519,0.521,14812103.3
2024-02-17 20:00:00,0.521,0.529,0.52,0.528,12119191.9
2024-02-18 00:00:00,0.529,0.535,0.521,0.525,23308156.6
2024-02-18 04:00:00,0.525,0.534,0.524,0.531,18974842.1
2024-02-18 08:00:00,0.53,0.536,0.527,0.535,15091616.4
2024-02-18 12:00:00,0.535,0.536,0.529,0.535,17238636.3
2024-02-18 16:00:00,0.535,0.537,0.531,0.533,20240300.2
2024-02-18 20:00:00,0.533,0.543,0.529,0.54,22742307.7
