datetime,open,high,low,close,volume
2023-12-31 16:00:00,3.067,3.098,3.042,3.055,5439552.3
2023-12-31 20:00:00,3.056,3.059,2.866,2.953,13266127.8
2024-01-01 00:00:00,2.954,2.99,2.91,2.929,7071216.8
2024-01-01 04:00:00,2.929,2.98,2.895,2.957,5486008.3
2024-01-01 08:00:00,2.958,2.989,2.953,2.988,4000083.4
2024-01-01 12:00:00,2.988,3.037,2.976,3.02,6758050.2
2024-01-01 16:00:00,3.019,3.071,2.989,3.06,6892988.9
2024-01-01 20:00:00,3.06,3.081,3.027,3.073,5038496.9
2024-01-02 00:00:00,3.073,3.123,3.043,3.121,7665739.6
2024-01-02 04:00:00,3.12,3.137,3.081,3.126,6920475.3
2024-01-02 08:00:00,3.126,3.18,3.116,3.149,10718139.4
2024-01-02 12:00:00,3.149,3.17,3.037,3.063,13553272.4
2024-01-02 16:00:00,3.064,3.08,2.99,3.003,8684762.3
2024-01-02 20:00:00,3.003,3.037,2.962,3.021,8273666.3
2024-01-03 00:00:00,3.021,3.074,2.997,3.072,6570188.8
2024-01-03 04:00:00,3.071,3.105,3.041,3.057,7508071.7
2024-01-03 08:00:00,3.057,3.131,2.9,2.96,16475620.5
2024-01-03 12:00:00,2.96,2.961,2.055,2.739,75290316.2
2024-01-03 16:00:00,2.739,2.75,2.576,2.655,14551222.7
2024-01-03 20:00:00,2.654,2.719,2.642,2.667,6668480.8
2024-01-04 00:00:00,2.667,2.708,2.604,2.665,8168886.5
2024-01-04 04:00:00,2.666,2.746,2.654,2.687,8603802.1
2024-01-04 08:00:00,2.688,2.716,2.64,2.67,8063242.5
2024-01-04 12:00:00,2.669,2.767,2.645,2.748,10265991.5
2024-01-04 16:00:00,2.747,2.759,2.7,2.729,6381905.7
2024-01-04 20:00:00,2.729,2.767,2.702,2.719,5635426.9
2024-01-05 00:00:00,2.719,2.76,2.48,2.648,15214753.6
2024-01-05 04:00:00,2.647,2.674,2.63,2.648,6819715.9
2024-01-05 08:00:00,2.648,2.693,2.544,2.595,11534714.7
2024-01-05 12:00:00,2.595,2.634,2.531,2.575,14554068.2
2024-01-05 16:00:00,2.575,2.606,2.482,2.571,10906857.9
2024-01-05 20:00:00,2.57,2.641,2.57,2.641,6010617.5
2024-01-06 00:00:00,2.641,2.642,2.567,2.585,5456359.2
