datetime,open,high,low,close,volume
2023-12-31 16:00:00,0.86,0.868,0.858,0.862,12921133.1
2023-12-31 20:00:00,0.862,0.867,0.82,0.846,35100988.2
2024-01-01 00:00:00,0.845,0.864,0.844,0.848,17956665.9
2024-01-01 04:00:00,0.849,0.851,0.838,0.85,12957087.9
2024-01-01 08:00:00,0.849,0.87,0.848,0.865,16446153.5
2024-01-01 12:00:00,0.865,0.87,0.856,0.868,17036792.4
2024-01-01 16:00:00,0.867,0.882,0.865,0.882,13702253.3
2024-01-01 20:00:00,0.882,0.889,0.878,0.888,13275651.8
2024-01-02 00:00:00,0.887,0.897,0.88,0.889,19408152.6
2024-01-02 04:00:00,0.89,0.89,0.882,0.883,7142077.1
2024-01-02 08:00:00,0.883,0.894,0.881,0.887,13189196.7
2024-01-02 12:00:00,0.887,0.889,0.864,0.873,24270038.6
2024-01-02 16:00:00,0.873,0.877,0.863,0.867,19636239.8
2024-01-02 20:00:00,0.868,0.871,0.856,0.866,14764998.1
2024-01-03 00:00:00,0.867,0.874,0.863,0.868,11684214.2
2024-01-03 04:00:00,0.868,0.877,0.866,0.87,9869325.1
2024-01-03 08:00:00,0.87,0.879,0.837,0.843,38643571.6
2024-01-03 12:00:00,0.843,0.844,0.702,0.779,121724024.3
2024-01-03 16:00:00,0.778,0.783,0.753,0.76,39360305.0
2024-01-03 20:00:00,0.759,0.774,0.758,0.767,15643270.2
2024-01-04 00:00:00,0.768,0.773,0.756,0.768,25622768.4
2024-01-04 04:00:00,0.769,0.78,0.763,0.764,24680020.0
2024-01-04 08:00:00,0.764,0.77,0.754,0.767,32449814.5
2024-01-04 12:00:00,0.766,0.783,0.763,0.778,33240479.6
2024-01-04 16:00:00,0.778,0.78,0.768,0.772,26302253.0
2024-01-04 20:00:00,0.772,0.781,0.768,0.772,22593747.1
2024-01-05 00:00:00,0.772,0.776,0.728,0.751,42770758.8
2024-01-05 04:00:00,0.751,0.759,0.748,0.753,21554983.9
2024-01-05 08:00:00,0.752,0.761,0.736,0.744,32620871.8
2024-01-05 12:00:00,0.744,0.75,0.724,0.735,52395135.8
2024-01-05 16:00:00,0.735,0.739,0.72,0.735,32675922.1
2024-01-05 20:00:00,0.734,0.748,0.734,0.746,17671173.6
2024-01-06 00:00:00,0.747,0.749,0.74,0.744,16170629.1
2024-01-06 04:00:00,0.743,0.746,0.703,0.722,51688293.1
2024-01-06 08:00:00,0.721,0.727,0.716,0.725,22439072.1
2024-01-06 12:00:00,0.724,0.739,0.72,0.737,33291528.1
2024-01-06 16:00:00,0.736,0.745,0.734,0.737,23802208.3
2024-01-06 20:00:00,0.738,0.74,0.728,0.738,20416511.1
2024-01-07 00:00:00,0.738,0.745,0.733,0.739,18137352.8
2024-01-07 04:00:00,0.739,0.748,0.737,0.742,17651795.6
2024-01-07 08:00:00,0.743,0.745,0.726,0.733,26149968.6
2024-01-07 12:00:00,0.732,0.739,0.722,0.727,22792327.7
2024-01-07 16:00:00,0.727,0.73,0.714,0.728,23967718.8
2024-01-07 20:00:00,0.728,0.73,0.691,0.702,40692329.0
2024-01-08 00:00:00,0.702,0.704,0.666,0.683,70712500.2
2024-01-08 04:00:00,0.682,0.704,0.678,0.697,38238265.3
2024-01-08 08:00:00,0.697,0.711,0.688,0.71,33812327.8
2024-01-08 12:00:00,0.711,0.723,0.709,0.718,47811650.1
2024-01-08 16:00:00,0.718,0.737,0.713,0.735,35688571.9
2024-01-08 20:00:00,0.735,0.741,0.728,0.738,17287297.4
2024-01-09 00:00:00,0.739,0.741,0.722,0.727,27590459.0
2024-01-09 04:00:00,0.727,0.736,0.723,0.727,15180548.1
2024-01-09 08:00:00,0.727,0.731,0.709,0.718,27124442.6
2024-01-09 12:00:00,0.719,0.721,0.665,0.7,61299627.1
2024-01-09 16:00:00,0.7,0.706,0.687,0.697,28754334.8
2024-01-09 20:00:00,0.697,0.711,0.683,0.708,51803282.2
2024-01-10 00:00:00,0.708,0.72,0.704,0.712,28654477.3
2024-01-10 04:00:00,0.711,0.718,0.708,0.709,16757321.6
2024-01-10 08:00:00,0.71,0.725,0.703,0.722,32153672.8
2024-01-10 12:00:00,0.722,0.723,0.689,0.716,57336580.8
2024-01-10 16:00:00,0.716,0.726,0.707,0.724,38516845.4
2024-01-10 20:00:00,0.724,0.769,0.706,0.754,71326085.4
2024-01-11 00:00:00,0.755,0.769,0.748,0.769,36754484.9
2024-01-11 04:00:00,0.769,0.769,0.742,0.758,33286444.9
2024-01-11 08:00:00,0.757,0.786,0.756,0.785,39591470.5
2024-01-11 12:00:00,0.785,0.807,0.775,0.794,126732032.6
2024-01-11 16:00:00,0.794,0.801,0.768,0.794,60736684.6
2024-01-11 20:00:00,0.794,0.797,0.768,0.783,31577270.9
2024-01-12 00:00:00,0.783,0.791,0.774,0.787,26651817.8
2024-01-12 04:00:00,0.788,0.796,0.783,0.787,25768481.4
2024-01-12 08:00:00,0.788,0.805,0.777,0.796,32064399.6
2024-01-12 12:00:00,0.796,0.811,0.781,0.785,65476128.3
2024-01-12 16:00:00,0.784,0.791,0.746,0.78,72499412.9
2024-01-12 20:00:00,0.779,0.799,0.731,0.769,60193181.8
2024-01-13 00:00:00,0.77,0.773,0.741,0.76,34147740.7
2024-01-13 04:00:00,0.76,0.773,0.759,0.767,20921351.5
2024-01-13 08:00:00,0.768,0.772,0.756,0.764,24870800.8
2024-01-13 12:00:00,0.764,0.768,0.757,0.762,24965750.7
2024-01-13 16:00:00,0.762,0.768,0.756,0.764,24487263.2
2024-01-13 20:00:00,0.763,0.768,0.76,0.765,12448299.2
2024-01-14 00:00:00,0.764,0.767,0.755,0.757,19029799.1
