datetime,open,high,low,close,volume
2023-12-31 16:00:00,8.816,8.858,8.743,8.77,184362.4
2023-12-31 20:00:00,8.773,8.774,8.531,8.593,394388.2
2024-01-01 00:00:00,8.595,8.721,8.545,8.585,211489.2
2024-01-01 04:00:00,8.585,8.653,8.504,8.65,132793.3
2024-01-01 08:00:00,8.652,8.669,8.587,8.662,94256.2
2024-01-01 12:00:00,8.663,8.941,8.663,8.904,243473.9
2024-01-01 16:00:00,8.904,8.991,8.781,8.979,148303.5
2024-01-01 20:00:00,8.982,9.065,8.927,9.051,114741.8
2024-01-02 00:00:00,9.053,9.3,8.982,9.297,219361.0
2024-01-02 04:00:00,9.298,9.45,9.267,9.412,235879.5
2024-01-02 08:00:00,9.412,9.659,9.341,9.514,298472.2
2024-01-02 12:00:00,9.514,9.542,9.267,9.363,348517.8
2024-01-02 16:00:00,9.365,9.389,9.093,9.161,314338.6
2024-01-02 20:00:00,9.162,9.275,9.095,9.136,140449.0
2024-01-03 00:00:00,9.14,9.367,9.126,9.204,148816.0
2024-01-03 04:00:00,9.205,9.323,9.139,9.153,111691.2
2024-01-03 08:00:00,9.153,9.524,8.999,9.013,513597.3
2024-01-03 12:00:00,9.016,9.021,7.13,8.498,1596573.5
2024-01-03 16:00:00,8.5,8.81,8.46,8.498,561040.5
2024-01-03 20:00:00,8.5,8.648,8.38,8.43,152575.1
2024-01-04 00:00:00,8.43,8.626,8.263,8.573,341806.0
2024-01-04 04:00:00,8.573,8.765,8.518,8.679,482339.1
2024-01-04 08:00:00,8.678,9.056,8.615,8.956,997580.5
2024-01-04 12:00:00,8.958,9.117,8.756,9.053,827581.8
2024-01-04 16:00:00,9.053,9.09,8.769,8.777,545549.3
2024-01-04 20:00:00,8.778,8.854,8.599,8.609,306608.6
2024-01-05 00:00:00,8.608,8.693,8.223,8.413,429009.8
2024-01-05 04:00:00,8.411,8.44,8.321,8.33,168479.4
2024-01-05 08:00:00,8.331,8.494,8.13,8.255,257889.4
2024-01-05 12:00:00,8.254,8.329,7.929,8.007,418103.7
2024-01-05 16:00:00,8.006,8.165,7.929,8.121,287144.8
2024-01-05 20:00:00,8.12,8.355,8.071,8.354,172022.7
2024-01-06 00:00:00,8.353,8.369,8.21,8.272,200407.6
