datetime,open,high,low,close,volume
2023-12-31 16:00:00,56.15,57.0,55.77,55.93,69727.27
2023-12-31 20:00:00,55.94,56.02,53.75,55.14,99718.1
2024-01-01 00:00:00,55.15,56.77,55.13,55.74,66465.79
2024-01-01 04:00:00,55.71,55.83,54.89,55.68,46439.69
2024-01-01 08:00:00,55.68,56.81,55.14,56.67,52183.19
2024-01-01 12:00:00,56.68,59.06,56.45,58.97,119498.03
2024-01-01 16:00:00,58.98,59.03,57.44,57.82,98966.89
2024-01-01 20:00:00,57.82,58.06,57.17,57.76,57629.1
2024-01-02 00:00:00,57.76,59.63,57.46,59.13,101751.76
2024-01-02 04:00:00,59.12,59.19,58.16,58.24,42999.8
2024-01-02 08:00:00,58.23,61.65,58.08,61.53,234709.53
2024-01-02 12:00:00,61.53,64.59,60.74,61.61,489224.29
2024-01-02 16:00:00,61.62,62.09,60.77,61.4,110023.79
2024-01-02 20:00:00,61.4,61.76,60.32,60.62,93916.81
2024-01-03 00:00:00,60.63,63.37,60.37,61.56,171393.4
2024-01-03 04:00:00,61.56,64.59,61.26,61.86,172529.63
2024-01-03 08:00:00,61.86,63.89,59.58,60.33,218912.79
2024-01-03 12:00:00,60.32,60.37,43.0,57.16,624311.19
2024-01-03 16:00:00,57.16,58.17,55.37,56.5,199173.86
2024-01-03 20:00:00,56.48,58.66,56.36,57.5,92307.63
2024-01-04 00:00:00,57.49,58.36,56.07,57.73,99254.77
2024-01-04 04:00:00,57.74,58.93,57.53,57.81,107252.56
2024-01-04 08:00:00,57.82,58.41,56.36,56.88,77266.97
2024-01-04 12:00:00,56.88,58.64,56.71,58.31,73800.86
2024-01-04 16:00:00,58.31,59.13,57.4,58.5,81181.07
2024-01-04 20:00:00,58.51,59.09,57.77,57.81,45761.31
2024-01-05 00:00:00,57.84,58.28,54.42,56.23,117160.86
2024-01-05 04:00:00,56.24,56.38,55.63,55.92,41626.04
2024-01-05 08:00:00,55.94,56.66,54.29,54.38,78206.13
2024-01-05 12:00:00,54.37,54.79,52.88,53.09,101948.33
2024-01-05 16:00:00,53.09,53.46,51.87,52.77,78773.72
2024-01-05 20:00:00,52.78,53.88,52.73,53.84,33801.69
2024-01-06 00:00:00,53.85,53.96,52.56,52.75,31865.77
2024-01-06 04:00:00,52.75,52.96,50.44,51.31,66810.44
2024-01-06 08:00:00,51.29,51.54,50.92,51.31,32743.76
2024-01-06 12:00:00,51.32,51.82,50.83,51.49,37495.36
2024-01-06 16:00:00,51.5,51.71,50.88,50.98,31376.95
2024-01-06 20:00:00,50.98,51.63,50.43,51.2,46266.67
2024-01-07 00:00:00,51.19,51.86,50.97,51.49,35219.21
2024-01-07 04:00:00,51.49,52.1,51.43,51.92,45400.12
2024-01-07 08:00:00,51.94,52.24,50.62,51.04,97065.54
2024-01-07 12:00:00,51.05,51.8,50.45,50.74,39210.72
2024-01-07 16:00:00,50.74,51.23,50.2,51.13,44593.2
2024-01-07 20:00:00,51.13,51.36,49.04,49.6,75341.03
2024-01-08 00:00:00,49.61,49.78,46.75,47.83,102381.7
2024-01-08 04:00:00,47.83,48.98,47.57,48.61,52204.9
2024-01-08 08:00:00,48.6,49.36,48.11,49.32,35113.13
2024-01-08 12:00:00,49.32,50.73,49.31,50.33,69275.78
2024-01-08 16:00:00,50.36,52.31,50.0,52.17,62856.56
2024-01-08 20:00:00,52.17,52.23,51.47,51.98,34925.71
2024-01-09 00:00:00,51.97,52.13,50.75,51.16,31039.62
2024-01-09 04:00:00,51.17,51.74,50.78,51.09,29696.77
2024-01-09 08:00:00,51.08,51.43,50.02,50.4,46405.43
2024-01-09 12:00:00,50.4,50.59,48.62,49.01,76276.03
2024-01-09 16:00:00,49.0,49.52,48.42,49.02,35441.74
2024-01-09 20:00:00,49.02,50.83,47.9,50.32,164745.92
2024-01-10 00:00:00,50.31,51.92,50.05,50.98,47116.65
2024-01-10 04:00:00,50.97,51.64,50.65,50.71,38080.89
2024-01-10 08:00:00,50.72,53.1,50.48,52.7,80042.22
2024-01-10 12:00:00,52.69,53.78,50.42,53.47,135864.79
2024-01-10 16:00:00,53.46,53.77,52.08,53.34,95514.85
2024-01-10 20:00:00,53.32,56.44,52.0,55.49,173526.56
2024-01-11 00:00:00,55.5,57.28,54.97,57.2,84898.53
2024-01-11 04:00:00,57.2,57.61,55.94,56.21,58193.68
2024-01-11 08:00:00,56.18,57.83,56.0,57.82,41191.47
2024-01-11 12:00:00,57.82,58.06,55.18,56.06,117711.91
2024-01-11 16:00:00,56.06,56.39,54.5,56.07,87388.89
2024-01-11 20:00:00,56.07,56.22,54.85,55.88,31953.95
2024-01-12 00:00:00,55.87,56.02,54.63,54.99,32869.07
2024-01-12 04:00:00,54.98,56.02,54.77,55.47,27514.62
2024-01-12 08:00:00,55.46,57.31,54.69,57.29,53662.41
2024-01-12 12:00:00,57.29,59.53,56.89,57.12,178542.17
2024-01-12 16:00:00,57.1,58.48,54.59,56.07,151963.12
2024-01-12 20:00:00,56.06,56.44,51.89,54.51,114928.95
2024-01-13 00:00:00,54.51,55.19,53.11,54.88,54611.91
2024-01-13 04:00:00,54.88,55.41,54.66,55.03,36541.49
2024-01-13 08:00:00,55.04,55.28,54.22,54.77,29872.74
2024-01-13 12:00:00,54.76,55.21,54.28,54.98,31061.67
2024-01-13 16:00:00,54.98,55.49,54.65,55.29,27019.23
2024-01-13 20:00:00,55.28,55.54,54.93,55.12,23582.64
2024-01-14 00:00:00,55.13,55.29,54.24,54.31,25114.22
2024-01-14 04:00:00,54.32,54.41,53.77,54.11,33563.56
2024-01-14 08:00:00,54.12,54.32,53.35,53.74,26213.62
2024-01-14 12:00:00,53.74,54.12,53.41,54.02,32251.56
2024-01-14 16:00:00,54.03,54.1,52.38,52.56,39367.51
2024-01-14 20:00:00,52.57,53.36,51.94,52.06,49297.23
2024-01-15 00:00:00,52.07,53.21,52.02,52.94,25669.01
2024-01-15 04:00:00,52.95,53.23,52.47,52.65,18176.73
2024-01-15 08:00:00,52.69,53.26,52.48,53.08,21804.65
2024-01-15 12:00:00,53.1,53.3,51.6,51.74,60967.27
2024-01-15 16:00:00,51.74,52.7,51.68,52.19,26004.32
2024-01-15 20:00:00,52.18,52.48,51.19,51.74,31461.07
2024-01-16 00:00:00,51.75,52.68,51.74,52.67,21857.64
