datetime,open,high,low,close,volume
2023-12-31 16:00:00,1.4045,1.449,1.4011,1.4015,15627070.0
2023-12-31 20:00:00,1.4015,1.4134,1.348,1.354,15145789.0
2024-01-01 00:00:00,1.3541,1.3734,1.3227,1.3292,12560460.0
2024-01-01 04:00:00,1.3291,1.3984,1.3182,1.3746,14018764.0
2024-01-01 08:00:00,1.3746,1.4231,1.3719,1.4121,14156271.0
2024-01-01 12:00:00,1.412,1.4528,1.392,1.4376,15133651.0
2024-01-01 16:00:00,1.4378,1.5532,1.429,1.55,34476182.0
2024-01-01 20:00:00,1.5504,1.565,1.5071,1.5612,17072254.0
2024-01-02 00:00:00,1.5608,1.6577,1.5168,1.6265,37568447.0
2024-01-02 04:00:00,1.627,1.6776,1.5995,1.6222,27365906.0
2024-01-02 08:00:00,1.6224,1.6946,1.5573,1.585,31590188.0
2024-01-02 12:00:00,1.5853,1.5855,1.5152,1.524,27988031.0
2024-01-02 16:00:00,1.5242,1.5515,1.505,1.5121,17451951.0
2024-01-02 20:00:00,1.5123,1.5183,1.456,1.4648,19426177.0
2024-01-03 00:00:00,1.4647,1.496,1.4644,1.4943,15615216.0
2024-01-03 04:00:00,1.4942,1.5448,1.4664,1.4748,20446574.0
2024-01-03 08:00:00,1.4748,1.5312,1.415,1.4284,28133539.0
2024-01-03 12:00:00,1.4286,1.4305,1.06,1.4136,109128943.0
2024-01-03 16:00:00,1.4136,1.424,1.3285,1.3712,31457508.0
2024-01-03 20:00:00,1.3711,1.422,1.3604,1.3742,16477617.0
2024-01-04 00:00:00,1.3742,1.3884,1.318,1.3616,20087461.0
2024-01-04 04:00:00,1.3617,1.3732,1.2703,1.2888,17971093.0
2024-01-04 08:00:00,1.2888,1.3165,1.2558,1.3011,27150003.0
2024-01-04 12:00:00,1.301,1.378,1.2915,1.346,25816159.0
2024-01-04 16:00:00,1.3464,1.349,1.2994,1.3108,24281344.0
2024-01-04 20:00:00,1.3109,1.3365,1.2948,1.3059,18049475.0
2024-01-05 00:00:00,1.306,1.329,1.1911,1.2394,32807587.0
2024-01-05 04:00:00,1.2391,1.2516,1.2231,1.2331,13983599.0
2024-01-05 08:00:00,1.233,1.2519,1.2026,1.2101,17470296.0
2024-01-05 12:00:00,1.2102,1.2432,1.1728,1.1981,27853998.0
2024-01-05 16:00:00,1.1981,1.2125,1.1726,1.1949,18987166.0
2024-01-05 20:00:00,1.195,1.2279,1.1923,1.2279,11355883.0
2024-01-06 00:00:00,1.2275,1.2278,1.1587,1.1673,16810608.0
2024-01-06 04:00:00,1.1672,1.1741,1.0718,1.1034,37852195.0
2024-01-06 08:00:00,1.1034,1.1404,1.0941,1.1232,17386116.0
2024-01-06 12:00:00,1.1232,1.1389,1.1066,1.1154,16265868.0
2024-01-06 16:00:00,1.1154,1.1409,1.1071,1.1127,12595179.0
2024-01-06 20:00:00,1.113,1.1189,1.092,1.118,10060987.0
2024-01-07 00:00:00,1.118,1.1902,1.1107,1.1397,25386158.0
2024-01-07 04:00:00,1.1397,1.1871,1.1304,1.1533,20171020.0
2024-01-07 08:00:00,1.1534,1.1709,1.1161,1.1269,17728681.0
2024-01-07 12:00:00,1.1271,1.1526,1.1089,1.1155,18184961.0
2024-01-07 16:00:00,1.1155,1.1356,1.084,1.1248,16877920.0
2024-01-07 20:00:00,1.1248,1.1316,1.052,1.0677,26668979.0
2024-01-08 00:00:00,1.0677,1.0795,0.9441,0.9696,45078514.0
2024-01-08 04:00:00,0.9699,1.0333,0.9645,1.015,26081275.0
2024-01-08 08:00:00,1.0149,1.0736,1.0133,1.0699,19879415.0
2024-01-08 12:00:00,1.0701,1.1515,1.0693,1.1265,44522888.0
2024-01-08 16:00:00,1.1267,1.1658,1.1081,1.1628,21642457.0
2024-01-08 20:00:00,1.1627,1.22,1.1412,1.1933,24421565.0
2024-01-09 00:00:00,1.1934,1.2169,1.1523,1.1787,29341865.0
2024-01-09 04:00:00,1.1789,1.2333,1.1721,1.194,20757792.0
2024-01-09 08:00:00,1.194,1.2052,1.131,1.1512,25679008.0
2024-01-09 12:00:00,1.1512,1.1656,1.0909,1.123,28754709.0
2024-01-09 16:00:00,1.1233,1.155,1.1033,1.1176,18615209.0
2024-01-09 20:00:00,1.1176,1.1495,1.0845,1.1149,36855341.0
2024-01-10 00:00:00,1.115,1.1534,1.0992,1.1505,17685561.0
2024-01-10 04:00:00,1.1501,1.1655,1.109,1.1112,12684509.0
2024-01-10 08:00:00,1.1113,1.1479,1.088,1.1247,17457885.0
2024-01-10 12:00:00,1.1247,1.1306,1.053,1.0929,27564021.0
2024-01-10 16:00:00,1.0929,1.1458,1.0836,1.1294,21234712.0
2024-01-10 20:00:00,1.1293,1.2798,1.0952,1.2229,47884684.0
2024-01-11 00:00:00,1.2228,1.2536,1.1935,1.2264,19218605.0
2024-01-11 04:00:00,1.2264,1.2408,1.1797,1.2383,12887832.0
2024-01-11 08:00:00,1.2384,1.3049,1.2343,1.2859,24398524.0
2024-01-11 12:00:00,1.2858,1.3506,1.2429,1.2649,46524718.0
2024-01-11 16:00:00,1.2648,1.3142,1.2252,1.3027,25481727.0
2024-01-11 20:00:00,1.3029,1.3103,1.2638,1.3018,14621582.0
2024-01-12 00:00:00,1.3016,1.3082,1.2543,1.2605,12893658.0
2024-01-12 04:00:00,1.2605,1.2926,1.2588,1.2728,9865661.0
2024-01-12 08:00:00,1.2728,1.3253,1.2417,1.3096,14648453.0
2024-01-12 12:00:00,1.3094,1.3197,1.247,1.2555,21236679.0
2024-01-12 16:00:00,1.2551,1.2762,1.1933,1.2306,24885757.0
2024-01-12 20:00:00,1.2305,1.263,1.1509,1.2102,22061197.0
2024-01-13 00:00:00,1.2101,1.2247,1.1411,1.1729,16482615.0
2024-01-13 04:00:00,1.1729,1.229,1.1702,1.2056,11483086.0
2024-01-13 08:00:00,1.2056,1.2402,1.2033,1.2198,12330637.0
2024-01-13 12:00:00,1.2196,1.243,1.2078,1.2302,11164863.0
2024-01-13 16:00:00,1.2303,1.2371,1.2123,1.2266,6925365.0
2024-01-13 20:00:00,1.2264,1.2427,1.2178,1.2218,6178196.0
2024-01-14 00:00:00,1.2219,1.2296,1.1953,1.2016,8670802.0
2024-01-14 04:00:00,1.2013,1.2216,1.1825,1.2169,6503268.0
2024-01-14 08:00:00,1.2169,1.2396,1.204,1.206,7066827.0
2024-01-14 12:00:00,1.206,1.2207,1.1949,1.2111,8298667.0
2024-01-14 16:00:00,1.2112,1.216,1.1705,1.1732,7489154.0
2024-01-14 20:00:00,1.1732,1.1971,1.1475,1.1536,10186749.0
2024-01-15 00:00:00,1.1535,1.1927,1.15,1.1821,7577918.0
2024-01-15 04:00:00,1.1821,1.2271,1.182,1.2149,8090847.0
2024-01-15 08:00:00,1.215,1.2165,1.1992,1.205,5542145.0
2024-01-15 12:00:00,1.2051,1.2064,1.1631,1.1712,9716438.0
2024-01-15 16:00:00,1.1713,1.2205,1.1704,1.2082,7083705.0
2024-01-15 20:00:00,1.2083,1.2305,1.1924,1.2178,9056753.0
2024-01-16 00:00:00,1.2177,1.2978,1.2176,1.2919,26202801.0
2024-01-16 04:00:00,1.2918,1.3124,1.2561,1.2659,17066603.0
2024-01-16 08:00:00,1.266,1.2923,1.2588,1.2653,12133046.0
2024-01-16 12:00:00,1.2653,1.2757,1.2196,1.2642,17198179.0
2024-01-16 16:00:00,1.264,1.2765,1.2378,1.249,7749544.0
2024-01-16 20:00:00,1.2489,1.2854,1.2481,1.2817,8792066.0
2024-01-17 00:00:00,1.2812,1.3221,1.2812,1.29,15565511.0
2024-01-17 04:00:00,1.29,1.2957,1.2458,1.2473,9368763.0
2024-01-17 08:00:00,1.2474,1.295,1.2426,1.2826,12692286.0
2024-01-17 12:00:00,1.2825,1.2829,1.2486,1.2568,11091383.0
2024-01-17 16:00:00,1.2572,1.2769,1.2423,1.2661,7714127.0
2024-01-17 20:00:00,1.2661,1.3284,1.2586,1.3278,13813822.0
2024-01-18 00:00:00,1.3278,1.3299,1.2599,1.2783,14550721.0
2024-01-18 04:00:00,1.2782,1.3235,1.2666,1.309,11013017.0
2024-01-18 08:00:00,1.3089,1.3128,1.2712,1.2806,9704302.0
2024-01-18 12:00:00,1.2807,1.283,1.2444,1.2708,12473172.0
2024-01-18 16:00:00,1.2709,1.275,1.1782,1.1877,21399865.0
2024-01-18 20:00:00,1.1876,1.2253,1.182,1.2161,11244216.0
2024-01-19 00:00:00,1.216,1.2204,1.1309,1.1523,16816609.0
2024-01-19 04:00:00,1.1521,1.1944,1.1505,1.1779,10375931.0
2024-01-19 08:00:00,1.178,1.203,1.1694,1.1941,8845996.0
2024-01-19 12:00:00,1.1941,1.1951,1.1484,1.1542,11452445.0
2024-01-19 16:00:00,1.1544,1.1798,1.103,1.179,20412307.0
2024-01-19 20:00:00,1.1791,1.1912,1.1642,1.1687,6993982.0
2024-01-20 00:00:00,1.1687,1.1692,1.1314,1.1389,8016236.0
2024-01-20 04:00:00,1.1391,1.1467,1.1249,1.1296,5643955.0
2024-01-20 08:00:00,1.1297,1.1355,1.1126,1.1296,5990739.0
2024-01-20 12:00:00,1.1297,1.133,1.1092,1.1206,5817338.0
2024-01-20 16:00:00,1.1206,1.1323,1.1172,1.1282,4872189.0
2024-01-20 20:00:00,1.1283,1.1409,1.1222,1.1275,5557736.0
2024-01-21 00:00:00,1.1274,1.174,1.1223,1.1593,10205593.0
2024-01-21 04:00:00,1.1593,1.1649,1.1422,1.1561,5133640.0
2024-01-21 08:00:00,1.1561,1.1655,1.1455,1.1562,5112590.0
2024-01-21 12:00:00,1.1565,1.1686,1.1413,1.1489,5901492.0
2024-01-21 16:00:00,1.1489,1.1524,1.1341,1.1495,4669560.0
2024-01-21 20:00:00,1.1495,1.1503,1.1211,1.1259,5881118.0
2024-01-22 00:00:00,1.1255,1.1299,1.0722,1.0878,14859721.0
2024-01-22 04:00:00,1.0877,1.1004,1.07,1.0863,7688829.0
2024-01-22 08:00:00,1.0862,1.0871,1.0422,1.0617,11958010.0
2024-01-22 12:00:00,1.0617,1.0821,1.0408,1.0621,12468718.0
2024-01-22 16:00:00,1.0622,1.0675,1.0173,1.0386,14148733.0
2024-01-22 20:00:00,1.0388,1.0628,1.0269,1.0315,8094161.0
2024-01-23 00:00:00,1.0315,1.0474,1.0188,1.0393,7995175.0
2024-01-23 04:00:00,1.0392,1.0542,1.0111,1.0167,7332703.0
2024-01-23 08:00:00,1.0166,1.0242,0.9559,0.9764,24596109.0
2024-01-23 12:00:00,0.9766,0.9909,0.9418,0.9842,18943566.0
2024-01-23 16:00:00,0.9841,1.0144,0.9778,0.9849,11617979.0
2024-01-23 20:00:00,0.985,1.0483,0.9813,1.0463,11691183.0
2024-01-24 00:00:00,1.0462,1.052,1.0136,1.0179,11022354.0
2024-01-24 04:00:00,1.018,1.0486,1.0156,1.0388,9382001.0
2024-01-24 08:00:00,1.039,1.0597,1.0322,1.0385,10272242.0
2024-01-24 12:00:00,1.0386,1.0455,1.0201,1.0429,10293177.0
2024-01-24 16:00:00,1.0431,1.0597,1.0251,1.0377,8046993.0
2024-01-24 20:00:00,1.0375,1.0499,1.0252,1.047,5427833.0
2024-01-25 00:00:00,1.0469,1.0469,1.0142,1.0209,7175919.0
2024-01-25 04:00:00,1.0209,1.0242,1.0,1.0168,6392384.0
2024-01-25 08:00:00,1.0166,1.0222,1.0002,1.0126,6255436.0
2024-01-25 12:00:00,1.0128,1.0174,0.9871,0.9931,8124072.0
2024-01-25 16:00:00,0.9931,1.0163,0.9825,1.0138,6667580.0
2024-01-25 20:00:00,1.014,1.016,0.9997,1.003,4764550.0
2024-01-26 00:00:00,1.0026,1.0165,0.984,1.0091,5959820.0
2024-01-26 04:00:00,1.009,1.0189,0.996,1.0004,4526640.0
2024-01-26 08:00:00,1.0005,1.0622,1.0005,1.0591,9308343.0
2024-01-26 12:00:00,1.0591,1.0682,1.0428,1.0653,8452862.0
2024-01-26 16:00:00,1.0653,1.0849,1.0643,1.0796,8419977.0
2024-01-26 20:00:00,1.0795,1.0977,1.0677,1.0965,6606186.0
2024-01-27 00:00:00,1.0965,1.1099,1.0835,1.0972,9689715.0
2024-01-27 04:00:00,1.0973,1.105,1.0663,1.0713,7171474.0
2024-01-27 08:00:00,1.0711,1.0882,1.0685,1.0797,5206561.0
