datetime,open,high,low,close,volume
2024-04-17 12:00:00,30.11,33.26,29.1,31.02,2502909.62
2024-04-17 16:00:00,31.02,33.31,29.48,29.8,2726710.89
2024-04-17 20:00:00,29.82,29.95,26.73,27.15,2834383.37
2024-04-18 00:00:00,27.14,27.33,25.07,25.8,2895973.29
2024-04-18 04:00:00,25.8,25.96,23.07,24.32,4638118.42
2024-04-18 08:00:00,24.31,27.01,23.78,25.34,5007267.33
2024-04-18 12:00:00,25.34,26.27,23.72,24.89,4027865.06
2024-04-18 16:00:00,24.89,25.42,24.17,24.97,1499465.11
2024-04-18 20:00:00,24.96,25.94,24.62,25.0,983241.44
2024-04-19 00:00:00,25.0,25.0,22.11,22.68,2202263.22
2024-04-19 04:00:00,22.68,25.75,22.56,24.7,1961330.8
2024-04-19 08:00:00,24.71,27.5,24.29,25.73,2466824.74
2024-04-19 12:00:00,25.72,26.22,24.4,25.72,1644913.4
2024-04-19 16:00:00,25.71,25.88,24.78,25.12,806978.42
2024-04-19 20:00:00,25.13,25.72,24.52,25.39,678697.22
2024-04-20 00:00:00,25.39,26.68,24.72,26.17,1055908.01
2024-04-20 04:00:00,26.16,27.5,26.12,26.42,1551984.58
2024-04-20 08:00:00,26.42,26.43,25.22,25.57,964128.95
2024-04-20 12:00:00,25.58,26.46,25.45,26.31,773921.18
2024-04-20 16:00:00,26.31,28.99,26.04,28.61,1672465.1
2024-04-20 20:00:00,28.61,29.97,27.92,28.88,813803.39
2024-04-21 00:00:00,28.88,28.93,27.26,28.09,977746.25
2024-04-21 04:00:00,28.09,30.0,27.52,29.41,1073729.35
2024-04-21 08:00:00,29.41,29.42,27.52,27.98,1017437.36
2024-04-21 12:00:00,27.98,28.11,25.72,26.16,1228317.57
2024-04-21 16:00:00,26.16,26.16,25.4,25.7,662752.4
2024-04-21 20:00:00,25.7,26.31,25.6,25.89,389516.33
2024-04-22 00:00:00,25.9,26.62,25.06,26.49,849965.0
2024-04-22 04:00:00,26.49,26.71,25.9,25.98,832502.26
