datetime,open,high,low,close,volume
2023-12-31 16:00:00,1.2194,1.225,1.2075,1.2131,919982.0
2023-12-31 20:00:00,1.2133,1.218,1.1377,1.1897,2043051.0
2024-01-01 00:00:00,1.1898,1.2096,1.1688,1.1768,1231572.0
2024-01-01 04:00:00,1.1767,1.1865,1.1666,1.1811,1231157.0
2024-01-01 08:00:00,1.1811,1.1863,1.1725,1.1809,951334.0
2024-01-01 12:00:00,1.181,1.2057,1.1748,1.2034,1474329.0
2024-01-01 16:00:00,1.2035,1.2411,1.1954,1.2372,1255005.0
2024-01-01 20:00:00,1.2372,1.2623,1.2313,1.2575,1705516.0
2024-01-02 00:00:00,1.2575,1.2746,1.2481,1.2701,1879155.0
2024-01-02 04:00:00,1.2707,1.3077,1.263,1.2741,3128823.0
2024-01-02 08:00:00,1.2743,1.3077,1.2735,1.2869,2467462.0
2024-01-02 12:00:00,1.2873,1.2909,1.2354,1.2416,2778194.0
2024-01-02 16:00:00,1.2416,1.2522,1.2309,1.2369,1466808.0
2024-01-02 20:00:00,1.2369,1.25,1.2194,1.2281,1283082.0
2024-01-03 00:00:00,1.228,1.2991,1.2234,1.2793,3063600.0
2024-01-03 04:00:00,1.2787,1.2953,1.2682,1.2723,1817416.0
2024-01-03 08:00:00,1.2722,1.3088,1.2222,1.2272,2478328.0
2024-01-03 12:00:00,1.2289,1.2296,1.0019,1.22,8305833.0
2024-01-03 16:00:00,1.22,1.3284,1.2141,1.3019,8958761.0
2024-01-03 20:00:00,1.302,1.38,1.2946,1.3612,6439147.0
2024-01-04 00:00:00,1.3612,1.3718,1.28,1.3544,6199734.0
2024-01-04 04:00:00,1.3543,1.5006,1.3407,1.4221,10037396.0
2024-01-04 08:00:00,1.4221,1.45,1.3658,1.369,7811829.0
2024-01-04 12:00:00,1.3688,1.4682,1.3605,1.4388,6608967.0
2024-01-04 16:00:00,1.4388,1.5671,1.4048,1.4993,9381063.0
2024-01-04 20:00:00,1.4993,1.5125,1.3863,1.3992,5613675.0
2024-01-05 00:00:00,1.3997,1.4307,1.3058,1.4025,5951363.0
2024-01-05 04:00:00,1.4025,1.4453,1.381,1.3996,4046135.0
2024-01-05 08:00:00,1.4,1.4498,1.392,1.4295,3421452.0
2024-01-05 12:00:00,1.4293,1.4825,1.3503,1.3553,5665645.0
2024-01-05 16:00:00,1.3551,1.3604,1.31,1.3213,2808392.0
2024-01-05 20:00:00,1.3216,1.4238,1.3133,1.4191,2809125.0
2024-01-06 00:00:00,1.4189,1.4415,1.3344,1.3424,3305060.0
2024-01-06 04:00:00,1.3422,1.3502,1.3072,1.3228,3248915.0
2024-01-06 08:00:00,1.3224,1.4066,1.3155,1.3695,3413270.0
2024-01-06 12:00:00,1.3696,1.3705,1.2821,1.3048,4153365.0
2024-01-06 16:00:00,1.3047,1.3076,1.2674,1.2824,1404206.0
2024-01-06 20:00:00,1.2824,1.2915,1.25,1.2655,1103364.0
2024-01-07 00:00:00,1.2656,1.3035,1.2599,1.2969,1504764.0
2024-01-07 04:00:00,1.2966,1.3294,1.2833,1.3182,2180571.0
2024-01-07 08:00:00,1.3183,1.3509,1.303,1.3193,3006143.0
2024-01-07 12:00:00,1.3192,1.3492,1.2835,1.3272,3886472.0
2024-01-07 16:00:00,1.3274,1.3453,1.2986,1.3366,2835079.0
2024-01-07 20:00:00,1.3369,1.3452,1.2352,1.2488,3743188.0
2024-01-08 00:00:00,1.2489,1.2542,1.1332,1.1695,5118403.0
2024-01-08 04:00:00,1.1695,1.2168,1.1619,1.1947,1891345.0
2024-01-08 08:00:00,1.1949,1.2217,1.173,1.2,1864843.0
2024-01-08 12:00:00,1.1997,1.2446,1.199,1.2237,2386792.0
2024-01-08 16:00:00,1.2233,1.28,1.2022,1.2779,2593676.0
2024-01-08 20:00:00,1.2778,1.2795,1.244,1.2557,1335333.0
2024-01-09 00:00:00,1.2558,1.2851,1.23,1.2489,2419583.0
2024-01-09 04:00:00,1.2483,1.2917,1.2388,1.2535,2932595.0
2024-01-09 08:00:00,1.2533,1.2583,1.2291,1.2423,1372279.0
2024-01-09 12:00:00,1.2419,1.246,1.1915,1.209,1945978.0
2024-01-09 16:00:00,1.2089,1.2112,1.1844,1.2072,1390016.0
2024-01-09 20:00:00,1.2074,1.3415,1.1773,1.3252,8429097.0
2024-01-10 00:00:00,1.3249,1.42,1.3091,1.4057,7504604.0
2024-01-10 04:00:00,1.4053,1.47,1.3979,1.4152,9160389.0
2024-01-10 08:00:00,1.4153,1.4973,1.4012,1.4431,14923629.0
2024-01-10 12:00:00,1.4426,1.5,1.4011,1.4831,11827007.0
2024-01-10 16:00:00,1.4823,1.6131,1.4541,1.5994,17794277.0
2024-01-10 20:00:00,1.5995,1.733,1.5348,1.6935,25880604.0
2024-01-11 00:00:00,1.6933,1.7496,1.65,1.7463,10345646.0
2024-01-11 04:00:00,1.7464,1.8,1.714,1.7983,11993485.0
2024-01-11 08:00:00,1.7985,1.8969,1.7605,1.8684,16579182.0
2024-01-11 12:00:00,1.8685,1.936,1.8154,1.8522,20830222.0
2024-01-11 16:00:00,1.8523,1.9173,1.7812,1.8443,12476056.0
2024-01-11 20:00:00,1.8445,1.9213,1.8424,1.8864,7267017.0
2024-01-12 00:00:00,1.8863,1.9051,1.7048,1.7131,10705614.0
2024-01-12 04:00:00,1.713,1.7628,1.7015,1.7412,5510529.0
2024-01-12 08:00:00,1.7412,1.9239,1.7241,1.8364,8029832.0
2024-01-12 12:00:00,1.8362,1.9429,1.7938,1.8002,9908495.0
2024-01-12 16:00:00,1.8005,1.8613,1.7134,1.7873,14188443.0
2024-01-12 20:00:00,1.7878,1.8336,1.6776,1.7473,8630012.0
2024-01-13 00:00:00,1.7473,1.8387,1.6879,1.8178,6088372.0
2024-01-13 04:00:00,1.8175,1.8186,1.7172,1.7269,5181079.0
2024-01-13 08:00:00,1.7265,1.7428,1.7008,1.7061,3264653.0
2024-01-13 12:00:00,1.7057,1.7441,1.6592,1.7195,4270585.0
2024-01-13 16:00:00,1.7196,1.7208,1.6785,1.7059,2294400.0
2024-01-13 20:00:00,1.7059,1.7189,1.6853,1.7033,1852418.0
2024-01-14 00:00:00,1.7033,1.8319,1.6756,1.8176,5770463.0
2024-01-14 04:00:00,1.8175,1.8281,1.6955,1.6998,4587918.0
2024-01-14 08:00:00,1.6997,1.7125,1.6722,1.6992,1914219.0
2024-01-14 12:00:00,1.6994,1.7062,1.6458,1.6811,2009469.0
2024-01-14 16:00:00,1.6811,1.686,1.62,1.6262,2406238.0
2024-01-14 20:00:00,1.6257,1.6458,1.6,1.6247,2537775.0
2024-01-15 00:00:00,1.6249,1.6947,1.6249,1.6688,3763934.0
2024-01-15 04:00:00,1.6689,1.6843,1.6108,1.6203,2235589.0
2024-01-15 08:00:00,1.6205,1.7468,1.6189,1.724,3724693.0
2024-01-15 12:00:00,1.7246,1.7275,1.635,1.6434,2621918.0
2024-01-15 16:00:00,1.6435,1.7489,1.6381,1.6982,2927271.0
2024-01-15 20:00:00,1.6986,1.712,1.6777,1.6935,1580544.0
2024-01-16 00:00:00,1.6934,1.7636,1.6887,1.7264,3046357.0
2024-01-16 04:00:00,1.7264,1.7271,1.6534,1.6599,2343188.0
2024-01-16 08:00:00,1.6597,1.756,1.6421,1.7157,5372605.0
2024-01-16 12:00:00,1.716,1.999,1.7118,1.9571,12643742.0
2024-01-16 16:00:00,1.9566,2.0888,1.91,2.0359,22110353.0
2024-01-16 20:00:00,2.0352,2.1434,2.0159,2.0799,16072887.0
2024-01-17 00:00:00,2.0799,2.15,2.0245,2.0347,12511566.0
2024-01-17 04:00:00,2.0348,2.0583,1.9872,2.0053,11076739.0
2024-01-17 08:00:00,2.0052,2.0525,1.965,1.9672,12012708.0
2024-01-17 12:00:00,1.9678,2.056,1.9614,1.9787,13652560.0
2024-01-17 16:00:00,1.9785,2.0769,1.9785,2.0327,5723831.0
2024-01-17 20:00:00,2.0327,2.0409,2.0049,2.0118,3647994.0
2024-01-18 00:00:00,2.012,2.065,1.9761,1.9852,5358454.0
2024-01-18 04:00:00,1.985,2.0582,1.9734,1.9818,4502074.0
2024-01-18 08:00:00,1.9814,2.0984,1.9784,2.0774,7239574.0
2024-01-18 12:00:00,2.0775,2.0775,1.9659,2.0228,6922655.0
2024-01-18 16:00:00,2.0227,2.0382,1.892,1.9099,9569826.0
2024-01-18 20:00:00,1.9092,1.9918,1.8956,1.9276,3819296.0
2024-01-19 00:00:00,1.9276,1.9742,1.9017,1.9121,4395405.0
2024-01-19 04:00:00,1.9121,2.0746,1.8975,2.0241,6267107.0
2024-01-19 08:00:00,2.0236,2.137,1.9944,2.1312,6492234.0
2024-01-19 12:00:00,2.1314,2.174,2.0541,2.084,13946080.0
2024-01-19 16:00:00,2.0843,2.17,1.975,2.1562,15447820.0
2024-01-19 20:00:00,2.1562,2.243,2.1484,2.1641,8161107.0
2024-01-20 00:00:00,2.1644,2.1737,2.0728,2.1083,4793077.0
2024-01-20 04:00:00,2.1079,2.1115,2.0361,2.0702,3303133.0
2024-01-20 08:00:00,2.0703,2.08,2.005,2.0578,2803504.0
2024-01-20 12:00:00,2.0578,2.0705,2.0184,2.0328,2452394.0
2024-01-20 16:00:00,2.0333,2.0556,2.0179,2.0265,2066225.0
2024-01-20 20:00:00,2.0266,2.0553,2.0175,2.0412,1886130.0
2024-01-21 00:00:00,2.0413,2.2547,2.0319,2.2049,8363476.0
2024-01-21 04:00:00,2.2048,2.24,2.1332,2.2291,3789538.0
2024-01-21 08:00:00,2.2297,2.3609,2.1978,2.3163,11198655.0
2024-01-21 12:00:00,2.3165,2.394,2.2944,2.3347,9404539.0
2024-01-21 16:00:00,2.3344,2.3764,2.3008,2.3616,5095796.0
2024-01-21 20:00:00,2.3616,2.3628,2.3101,2.3173,3636487.0
2024-01-22 00:00:00,2.3174,2.43,2.2758,2.3273,9802407.0
2024-01-22 04:00:00,2.3274,2.3974,2.2937,2.3142,8489913.0
2024-01-22 08:00:00,2.3145,2.3465,2.1414,2.1425,11947866.0
2024-01-22 12:00:00,2.1425,2.174,2.0225,2.096,8737673.0
2024-01-22 16:00:00,2.0962,2.1375,2.0056,2.0713,9556833.0
2024-01-22 20:00:00,2.0712,2.0923,1.9883,1.9947,5436226.0
2024-01-23 00:00:00,1.995,2.1103,1.975,2.0167,6743768.0
2024-01-23 04:00:00,2.0174,2.0348,1.9128,1.9415,5393328.0
2024-01-23 08:00:00,1.9413,1.972,1.8427,1.8947,12078877.0
2024-01-23 12:00:00,1.8944,2.02,1.8898,2.0128,12726811.0
2024-01-23 16:00:00,2.013,2.0452,1.9577,1.9682,6774269.0
2024-01-23 20:00:00,1.9681,2.1309,1.955,2.114,7147311.0
2024-01-24 00:00:00,2.1139,2.2042,2.0604,2.0712,6275256.0
2024-01-24 04:00:00,2.0707,2.1407,2.0539,2.0952,4655621.0
2024-01-24 08:00:00,2.0954,2.2651,2.0837,2.2309,9870071.0
2024-01-24 12:00:00,2.2307,2.3111,2.181,2.3053,9770967.0
2024-01-24 16:00:00,2.3053,2.4084,2.2662,2.3468,10479342.0
2024-01-24 20:00:00,2.3462,2.44,2.2833,2.408,8081895.0
2024-01-25 00:00:00,2.4082,2.4366,2.349,2.396,7344809.0
2024-01-25 04:00:00,2.3958,2.4609,2.3261,2.4344,10205487.0
2024-01-25 08:00:00,2.4338,2.479,2.4069,2.4103,9594047.0
2024-01-25 12:00:00,2.4103,2.4515,2.3338,2.367,10886977.0
2024-01-25 16:00:00,2.3669,2.5,2.3544,2.4859,9389724.0
2024-01-25 20:00:00,2.4862,2.4985,2.419,2.4478,4514088.0
2024-01-26 00:00:00,2.4478,2.6052,2.4169,2.5034,8628471.0
2024-01-26 04:00:00,2.5037,2.5429,2.4,2.422,6256984.0
2024-01-26 08:00:00,2.4218,2.4959,2.3893,2.4068,4643512.0
2024-01-26 12:00:00,2.4077,2.48,2.3637,2.421,7508243.0
2024-01-26 16:00:00,2.4211,2.51,2.3985,2.4372,5539808.0
2024-01-26 20:00:00,2.4372,2.45,2.393,2.403,2341764.0
2024-01-27 00:00:00,2.4032,2.4875,2.4,2.4154,3391117.0
2024-01-27 04:00:00,2.4154,2.4522,2.343,2.3563,3806125.0
2024-01-27 08:00:00,2.3562,2.48,2.3501,2.3644,6283417.0
2024-01-27 12:00:00,2.3642,2.3844,2.2846,2.3196,4670701.0
2024-01-27 16:00:00,2.3198,2.3317,2.2589,2.2724,4206262.0
2024-01-27 20:00:00,2.272,2.3173,2.262,2.3011,3243438.0
2024-01-28 00:00:00,2.3011,2.3873,2.2999,2.334,3860564.0
2024-01-28 04:00:00,2.3343,2.3785,2.2336,2.2407,5785156.0
2024-01-28 08:00:00,2.2407,2.3613,2.2347,2.3254,4322175.0
2024-01-28 12:00:00,2.3254,2.3292,2.2596,2.2715,2231490.0
