datetime,open,high,low,close,volume
2023-12-31 16:00:00,5.258,5.265,5.007,5.197,6598263.0
2023-12-31 20:00:00,5.197,5.251,5.0,5.163,4491066.0
2024-01-01 00:00:00,5.163,5.225,5.121,5.125,1241567.0
2024-01-01 04:00:00,5.125,5.166,5.053,5.136,1641953.0
2024-01-01 08:00:00,5.136,5.162,5.114,5.143,897517.0
2024-01-01 12:00:00,5.144,5.237,5.137,5.227,1582469.0
2024-01-01 16:00:00,5.228,5.363,5.226,5.316,2256119.0
2024-01-01 20:00:00,5.316,5.379,5.102,5.358,6546636.0
2024-01-02 00:00:00,5.357,5.839,5.357,5.83,5377927.0
2024-01-02 04:00:00,5.83,5.891,5.733,5.8,4932636.0
2024-01-02 08:00:00,5.8,5.95,5.773,5.826,4771129.0
2024-01-02 12:00:00,5.827,5.848,5.497,5.535,5164477.0
2024-01-02 16:00:00,5.534,5.646,5.422,5.599,4504875.0
2024-01-02 20:00:00,5.6,5.766,5.553,5.721,4174642.0
2024-01-03 00:00:00,5.721,5.906,5.695,5.896,2980589.0
2024-01-03 04:00:00,5.896,6.071,5.878,5.921,4955433.0
2024-01-03 08:00:00,5.922,6.177,5.716,5.806,6940152.0
2024-01-03 12:00:00,5.807,5.809,4.155,5.426,18349308.0
2024-01-03 16:00:00,5.426,5.605,5.282,5.374,5330244.0
2024-01-03 20:00:00,5.374,5.431,5.301,5.353,1801407.0
2024-01-04 00:00:00,5.353,5.375,5.22,5.346,2048184.0
2024-01-04 04:00:00,5.347,5.368,5.261,5.265,1866721.0
2024-01-04 08:00:00,5.266,5.302,5.18,5.278,2475027.0
2024-01-04 12:00:00,5.278,5.462,5.253,5.444,3013250.0
2024-01-04 16:00:00,5.443,5.453,5.338,5.401,2540961.0
2024-01-04 20:00:00,5.401,5.549,5.391,5.397,3115135.0
2024-01-05 00:00:00,5.397,5.435,5.1,5.186,3398596.0
2024-01-05 04:00:00,5.186,5.233,5.126,5.208,1936367.0
2024-01-05 08:00:00,5.208,5.27,5.084,5.105,2713278.0
2024-01-05 12:00:00,5.106,5.175,5.025,5.11,4077849.0
2024-01-05 16:00:00,5.109,5.166,5.007,5.129,2658261.0
2024-01-05 20:00:00,5.13,5.244,5.127,5.224,1808739.0
2024-01-06 00:00:00,5.225,5.238,5.113,5.161,1125728.0
2024-01-06 04:00:00,5.161,5.168,4.826,4.845,4093740.0
2024-01-06 08:00:00,4.845,4.933,4.792,4.923,2537678.0
2024-01-06 12:00:00,4.924,4.978,4.835,4.905,2634967.0
2024-01-06 16:00:00,4.905,4.99,4.896,4.917,1792975.0
2024-01-06 20:00:00,4.918,4.947,4.862,4.918,1371253.0
2024-01-07 00:00:00,4.917,4.966,4.876,4.908,1283484.0
2024-01-07 04:00:00,4.909,4.963,4.834,4.886,1505137.0
2024-01-07 08:00:00,4.886,4.909,4.821,4.879,1968892.0
2024-01-07 12:00:00,4.88,4.939,4.813,4.829,1976686.0
2024-01-07 16:00:00,4.829,4.844,4.753,4.817,1875131.0
2024-01-07 20:00:00,4.817,4.817,4.532,4.566,4342131.0
2024-01-08 00:00:00,4.567,4.58,4.27,4.459,9629572.0
2024-01-08 04:00:00,4.458,4.532,4.289,4.408,8221423.0
2024-01-08 08:00:00,4.408,4.67,4.393,4.629,4526926.0
2024-01-08 12:00:00,4.629,4.741,4.6,4.712,3651499.0
2024-01-08 16:00:00,4.712,4.968,4.659,4.961,3805970.0
2024-01-08 20:00:00,4.962,4.974,4.743,4.907,5555316.0
2024-01-09 00:00:00,4.908,5.022,4.811,4.944,3976823.0
2024-01-09 04:00:00,4.943,4.989,4.872,4.925,1903921.0
2024-01-09 08:00:00,4.924,4.981,4.844,4.906,2593302.0
2024-01-09 12:00:00,4.906,4.945,4.672,4.806,4457880.0
2024-01-09 16:00:00,4.806,4.828,4.749,4.783,1885763.0
2024-01-09 20:00:00,4.783,4.885,4.618,4.742,5716424.0
2024-01-10 00:00:00,4.741,4.802,4.73,4.781,1728631.0
2024-01-10 04:00:00,4.78,4.798,4.705,4.708,1112105.0
2024-01-10 08:00:00,4.709,4.779,4.641,4.702,2210755.0
2024-01-10 12:00:00,4.701,4.713,4.472,4.603,4250049.0
2024-01-10 16:00:00,4.602,4.818,4.563,4.795,3115368.0
2024-01-10 20:00:00,4.795,5.205,4.605,5.052,7361083.0
2024-01-11 00:00:00,5.051,5.095,4.971,5.077,2178250.0
2024-01-11 04:00:00,5.077,5.083,4.918,5.033,1853283.0
2024-01-11 08:00:00,5.032,5.365,5.016,5.355,5990864.0
2024-01-11 12:00:00,5.354,5.498,5.111,5.176,7463294.0
2024-01-11 16:00:00,5.176,5.213,5.064,5.168,2983724.0
2024-01-11 20:00:00,5.168,5.223,5.039,5.106,2354171.0
2024-01-12 00:00:00,5.106,5.127,4.812,4.96,5552335.0
2024-01-12 04:00:00,4.96,5.113,4.952,5.025,3104349.0
2024-01-12 08:00:00,5.024,5.063,4.935,5.035,2366172.0
2024-01-12 12:00:00,5.035,5.071,4.713,4.733,5525691.0
2024-01-12 16:00:00,4.732,4.772,4.428,4.66,11374557.0
2024-01-12 20:00:00,4.661,4.695,4.366,4.566,5128506.0
2024-01-13 00:00:00,4.565,4.584,4.44,4.505,2221584.0
2024-01-13 04:00:00,4.506,4.628,4.455,4.506,3087552.0
2024-01-13 08:00:00,4.507,4.554,4.48,4.502,2312476.0
2024-01-13 12:00:00,4.501,4.633,4.473,4.589,3664006.0
2024-01-13 16:00:00,4.589,4.675,4.558,4.634,2083284.0
2024-01-13 20:00:00,4.634,4.673,4.474,4.584,6743179.0
2024-01-14 00:00:00,4.583,4.676,4.577,4.593,3272390.0
2024-01-14 04:00:00,4.592,4.657,4.533,4.577,2062295.0
2024-01-14 08:00:00,4.577,4.633,4.544,4.597,1782444.0
2024-01-14 12:00:00,4.596,4.63,4.568,4.617,1607003.0
2024-01-14 16:00:00,4.618,4.631,4.509,4.52,1888307.0
2024-01-14 20:00:00,4.52,4.56,4.421,4.437,2320765.0
2024-01-15 00:00:00,4.437,4.586,4.428,4.569,1628239.0
2024-01-15 04:00:00,4.57,4.626,4.565,4.615,1238958.0
2024-01-15 08:00:00,4.614,4.624,4.56,4.615,1334219.0
2024-01-15 12:00:00,4.615,4.65,4.509,4.533,2218546.0
2024-01-15 16:00:00,4.533,4.649,4.519,4.607,1542986.0
2024-01-15 20:00:00,4.606,4.642,4.488,4.559,2438479.0
2024-01-16 00:00:00,4.558,4.595,4.533,4.594,956307.0
2024-01-16 04:00:00,4.593,4.597,4.553,4.584,873016.0
2024-01-16 08:00:00,4.585,4.719,4.573,4.697,2322458.0
2024-01-16 12:00:00,4.698,4.738,4.578,4.716,3503972.0
2024-01-16 16:00:00,4.716,4.736,4.653,4.705,1643423.0
2024-01-16 20:00:00,4.704,4.788,4.697,4.758,1675180.0
2024-01-17 00:00:00,4.758,4.843,4.75,4.76,1700204.0
2024-01-17 04:00:00,4.759,4.764,4.642,4.647,1803548.0
2024-01-17 08:00:00,4.648,4.725,4.616,4.678,1946992.0
2024-01-17 12:00:00,4.678,4.732,4.655,4.66,2160805.0
2024-01-17 16:00:00,4.661,4.687,4.604,4.61,1710760.0
2024-01-17 20:00:00,4.61,4.619,4.27,4.288,8010507.0
2024-01-18 00:00:00,4.287,4.29,4.18,4.269,6733500.0
2024-01-18 04:00:00,4.269,4.275,4.169,4.259,4259161.0
2024-01-18 08:00:00,4.26,4.266,4.111,4.151,5247486.0
2024-01-18 12:00:00,4.151,4.225,4.075,4.193,5447497.0
2024-01-18 16:00:00,4.193,4.195,3.928,3.959,8027588.0
2024-01-18 20:00:00,3.959,4.064,3.916,4.06,3997961.0
2024-01-19 00:00:00,4.061,4.069,3.984,4.047,3672853.0
2024-01-19 04:00:00,4.046,4.172,4.033,4.052,3807138.0
2024-01-19 08:00:00,4.052,4.164,4.047,4.161,2771207.0
2024-01-19 12:00:00,4.161,4.197,4.056,4.079,4115939.0
2024-01-19 16:00:00,4.079,4.226,3.919,4.197,7925174.0
2024-01-19 20:00:00,4.198,4.241,4.161,4.196,2436347.0
2024-01-20 00:00:00,4.197,4.209,4.113,4.133,1459113.0
2024-01-20 04:00:00,4.133,4.173,4.083,4.085,1629478.0
2024-01-20 08:00:00,4.086,4.151,4.064,4.084,2779951.0
2024-01-20 12:00:00,4.085,4.132,4.056,4.06,1967810.0
2024-01-20 16:00:00,4.06,4.097,4.041,4.077,1426820.0
2024-01-20 20:00:00,4.076,4.139,4.076,4.118,1369865.0
2024-01-21 00:00:00,4.118,4.195,4.095,4.175,1787823.0
2024-01-21 04:00:00,4.175,4.189,4.142,4.189,867049.0
2024-01-21 08:00:00,4.189,4.346,4.167,4.292,3902597.0
2024-01-21 12:00:00,4.292,4.343,4.232,4.25,3830229.0
2024-01-21 16:00:00,4.25,4.288,4.233,4.268,1450615.0
2024-01-21 20:00:00,4.269,4.285,4.199,4.206,1458408.0
2024-01-22 00:00:00,4.206,4.225,4.1,4.115,2905826.0
2024-01-22 04:00:00,4.114,4.168,4.052,4.141,2324257.0
2024-01-22 08:00:00,4.141,4.141,3.983,4.028,3427697.0
2024-01-22 12:00:00,4.027,4.099,3.949,4.017,3471638.0
2024-01-22 16:00:00,4.018,4.031,3.88,3.939,4016227.0
2024-01-22 20:00:00,3.94,4.03,3.916,3.936,2505928.0
2024-01-23 00:00:00,3.937,4.054,3.924,4.051,1690476.0
2024-01-23 04:00:00,4.051,4.088,3.971,4.012,2896753.0
2024-01-23 08:00:00,4.011,4.039,3.787,3.855,6267545.0
