datetime,open,high,low,close,volume
2023-12-31 16:00:00,26.26,26.85,26.13,26.48,144061.32
2023-12-31 20:00:00,26.49,26.96,25.5,26.47,238976.56
2024-01-01 00:00:00,26.47,28.22,26.1,27.45,422137.17
2024-01-01 04:00:00,27.46,29.1,26.79,28.91,658709.42
2024-01-01 08:00:00,28.9,29.86,28.61,29.32,719952.11
2024-01-01 12:00:00,29.32,30.73,28.95,29.5,913952.89
2024-01-01 16:00:00,29.51,29.85,28.6,28.85,384785.09
2024-01-01 20:00:00,28.85,29.09,28.41,28.72,189115.63
2024-01-02 00:00:00,28.73,29.36,28.15,28.32,365123.1
2024-01-02 04:00:00,28.32,29.01,28.24,28.42,208713.92
2024-01-02 08:00:00,28.42,29.98,28.37,28.94,623519.69
2024-01-02 12:00:00,28.95,29.0,27.12,27.36,477612.97
2024-01-02 16:00:00,27.36,27.51,26.96,27.15,197800.01
2024-01-02 20:00:00,27.15,27.37,26.79,27.22,130994.09
2024-01-03 00:00:00,27.22,28.5,27.18,28.05,251504.7
2024-01-03 04:00:00,28.05,28.44,27.56,28.05,216133.99
2024-01-03 08:00:00,28.06,30.03,28.02,28.95,792000.66
2024-01-03 12:00:00,28.96,29.21,22.09,27.27,1723917.55
2024-01-03 16:00:00,27.28,29.24,27.07,28.7,908519.77
2024-01-03 20:00:00,28.69,29.34,27.85,28.47,356569.32
2024-01-04 00:00:00,28.46,32.01,28.44,31.0,994968.14
2024-01-04 04:00:00,31.0,32.42,30.85,31.08,586348.75
2024-01-04 08:00:00,31.09,33.44,29.19,32.57,1120801.16
2024-01-04 12:00:00,32.57,34.68,32.26,34.15,1468808.43
2024-01-04 16:00:00,34.16,34.99,33.26,34.85,712846.85
2024-01-04 20:00:00,34.86,34.9,32.91,33.57,422174.85
2024-01-05 00:00:00,33.56,36.36,32.17,34.67,1129520.41
2024-01-05 04:00:00,34.67,35.35,32.04,33.47,901712.85
2024-01-05 08:00:00,33.47,33.54,31.64,31.99,689074.87
2024-01-05 12:00:00,32.0,32.56,31.16,31.3,588753.9
2024-01-05 16:00:00,31.29,32.7,30.09,32.11,538899.44
2024-01-05 20:00:00,32.11,34.84,31.88,34.31,451326.58
2024-01-06 00:00:00,34.31,34.43,32.55,33.77,446019.53
2024-01-06 04:00:00,33.77,34.18,29.33,30.52,985449.63
2024-01-06 08:00:00,30.53,31.87,30.0,30.38,485327.87
2024-01-06 12:00:00,30.39,31.0,29.7,30.22,360277.62
2024-01-06 16:00:00,30.22,32.02,29.91,31.21,390410.87
2024-01-06 20:00:00,31.22,31.36,29.77,30.19,193027.07
2024-01-07 00:00:00,30.19,32.1,30.0,31.22,318497.94
2024-01-07 04:00:00,31.24,33.22,30.72,32.88,404354.56
2024-01-07 08:00:00,32.88,33.43,31.45,31.58,347640.95
2024-01-07 12:00:00,31.59,33.9,31.48,33.19,495222.0
2024-01-07 16:00:00,33.19,33.72,32.12,33.08,370087.83
2024-01-07 20:00:00,33.08,33.28,30.3,31.0,411531.38
2024-01-08 00:00:00,31.0,31.37,27.85,28.75,630435.76
2024-01-08 04:00:00,28.76,30.07,28.44,29.33,424286.2
2024-01-08 08:00:00,29.33,31.66,29.17,31.19,503710.02
2024-01-08 12:00:00,31.19,32.14,30.18,30.44,495153.21
2024-01-08 16:00:00,30.45,32.06,29.52,31.65,372858.26
2024-01-08 20:00:00,31.65,31.88,30.84,31.36,172587.54
2024-01-09 00:00:00,31.36,31.47,30.11,30.28,203025.27
2024-01-09 04:00:00,30.29,30.45,29.7,30.04,211900.81
2024-01-09 08:00:00,30.04,30.27,29.05,29.39,218602.57
2024-01-09 12:00:00,29.39,29.45,28.11,28.54,356712.31
2024-01-09 16:00:00,28.54,30.28,28.25,29.8,302320.43
2024-01-09 20:00:00,29.81,33.26,28.68,32.19,940050.81
2024-01-10 00:00:00,32.19,33.65,31.72,32.38,588361.64
2024-01-10 04:00:00,32.39,33.1,31.78,32.49,429553.68
2024-01-10 08:00:00,32.49,34.69,31.96,34.36,742900.8
2024-01-10 12:00:00,34.36,36.35,32.9,36.24,1102739.53
2024-01-10 16:00:00,36.22,36.54,34.18,36.41,888518.95
2024-01-10 20:00:00,36.41,38.86,34.43,35.73,1103964.94
2024-01-11 00:00:00,35.72,37.52,35.18,36.25,453378.07
2024-01-11 04:00:00,36.25,37.25,35.0,36.4,377352.51
2024-01-11 08:00:00,36.41,38.95,35.92,38.07,465053.31
2024-01-11 12:00:00,38.06,38.49,34.68,35.31,572469.86
2024-01-11 16:00:00,35.31,36.27,34.36,35.7,310356.68
2024-01-11 20:00:00,35.69,37.77,35.03,37.18,262785.84
2024-01-12 00:00:00,37.19,37.19,35.21,35.55,254895.34
2024-01-12 04:00:00,35.53,36.06,35.09,35.48,179387.58
2024-01-12 08:00:00,35.47,38.52,35.15,37.47,315647.97
2024-01-12 12:00:00,37.46,40.47,36.93,37.4,817513.81
2024-01-12 16:00:00,37.39,38.13,35.26,36.31,504162.56
2024-01-12 20:00:00,36.31,36.76,33.6,36.75,429725.2
2024-01-13 00:00:00,36.75,37.19,34.34,36.4,269718.56
2024-01-13 04:00:00,36.41,37.78,36.36,36.4,257638.44
2024-01-13 08:00:00,36.42,37.0,35.71,36.02,196501.47
2024-01-13 12:00:00,36.02,36.73,35.06,35.43,173541.48
2024-01-13 16:00:00,35.42,35.78,34.99,35.3,124887.54
2024-01-13 20:00:00,35.29,36.21,35.13,36.12,121314.03
2024-01-14 00:00:00,36.11,38.44,35.35,36.8,356253.23
2024-01-14 04:00:00,36.81,37.35,35.74,36.32,221071.46
2024-01-14 08:00:00,36.32,36.34,35.1,35.17,164844.13
2024-01-14 12:00:00,35.17,35.21,34.11,34.67,198549.63
2024-01-14 16:00:00,34.68,34.74,33.21,33.22,181276.56
2024-01-14 20:00:00,33.23,33.89,32.95,33.01,139178.38
2024-01-15 00:00:00,33.0,34.43,32.97,34.18,134017.33
2024-01-15 04:00:00,34.19,34.33,33.16,33.56,118773.26
2024-01-15 08:00:00,33.56,34.57,33.35,34.35,132193.33
2024-01-15 12:00:00,34.35,35.25,33.25,33.41,250487.63
2024-01-15 16:00:00,33.4,34.84,33.35,34.77,137026.33
2024-01-15 20:00:00,34.79,34.94,33.97,34.1,101596.87
2024-01-16 00:00:00,34.11,35.54,33.91,35.48,147701.04
2024-01-16 04:00:00,35.48,35.76,34.57,34.97,152893.1
2024-01-16 08:00:00,34.97,36.03,34.59,35.19,181549.41
2024-01-16 12:00:00,35.17,35.54,34.07,34.92,231463.36
2024-01-16 16:00:00,34.92,37.0,34.78,37.0,269053.49
2024-01-16 20:00:00,36.99,38.0,36.54,36.61,254518.35
2024-01-17 00:00:00,36.6,36.77,35.99,36.06,137313.7
2024-01-17 04:00:00,36.07,36.42,35.6,35.82,136495.21
2024-01-17 08:00:00,35.82,36.72,35.57,35.72,154262.06
2024-01-17 12:00:00,35.72,36.59,35.05,35.09,193114.54
2024-01-17 16:00:00,35.1,35.15,34.36,34.82,128844.33
2024-01-17 20:00:00,34.83,35.84,34.66,35.21,114764.4
2024-01-18 00:00:00,35.21,35.3,33.44,33.78,199005.98
2024-01-18 04:00:00,33.79,34.02,33.41,33.62,97886.42
2024-01-18 08:00:00,33.65,33.66,32.65,32.75,163270.68
2024-01-18 12:00:00,32.75,33.23,32.1,32.95,229308.95
2024-01-18 16:00:00,32.96,32.99,31.33,31.61,233460.98
2024-01-18 20:00:00,31.61,32.15,31.57,31.74,105308.3
2024-01-19 00:00:00,31.75,31.99,30.72,31.22,178410.04
2024-01-19 04:00:00,31.23,32.2,31.23,31.82,101299.45
2024-01-19 08:00:00,31.83,32.03,31.54,31.63,89508.28
2024-01-19 12:00:00,31.64,31.92,30.46,30.55,165343.79
2024-01-19 16:00:00,30.55,31.7,29.18,31.28,288980.15
2024-01-19 20:00:00,31.28,31.58,30.94,31.3,72385.02
2024-01-20 00:00:00,31.3,31.38,30.6,31.06,99030.08
2024-01-20 04:00:00,31.06,31.17,30.7,30.76,59316.0
2024-01-20 08:00:00,30.77,30.9,30.05,30.36,83439.73
2024-01-20 12:00:00,30.37,30.54,30.14,30.32,61710.17
2024-01-20 16:00:00,30.32,30.46,29.92,30.28,55526.27
2024-01-20 20:00:00,30.27,30.59,30.19,30.58,37861.95
2024-01-21 00:00:00,30.57,31.38,30.33,31.15,86711.64
2024-01-21 04:00:00,31.14,31.3,30.41,30.63,76979.63
2024-01-21 08:00:00,30.63,30.94,30.35,30.45,70805.61
2024-01-21 12:00:00,30.44,30.84,30.22,30.45,71197.81
2024-01-21 16:00:00,30.45,30.93,30.25,30.77,51465.24
2024-01-21 20:00:00,30.76,30.77,29.94,30.06,66856.7
2024-01-22 00:00:00,30.05,31.0,29.46,30.83,211661.76
2024-01-22 04:00:00,30.83,32.12,30.58,31.16,465634.23
