datetime,open,high,low,close,volume
2023-12-31 16:00:00,7.544,7.595,7.443,7.452,1315634.0
2023-12-31 20:00:00,7.452,7.462,7.143,7.232,2669309.0
2024-01-01 00:00:00,7.231,7.372,7.203,7.223,1371994.0
2024-01-01 04:00:00,7.224,7.317,7.143,7.311,1279255.0
2024-01-01 08:00:00,7.31,7.357,7.258,7.327,1066002.0
2024-01-01 12:00:00,7.328,7.532,7.282,7.501,1886607.0
2024-01-01 16:00:00,7.501,7.628,7.447,7.621,1561499.0
2024-01-01 20:00:00,7.621,7.654,7.523,7.611,1266081.0
2024-01-02 00:00:00,7.611,7.735,7.569,7.647,1834450.0
2024-01-02 04:00:00,7.647,7.715,7.571,7.578,1270534.0
2024-01-02 08:00:00,7.578,7.696,7.466,7.514,1859530.0
2024-01-02 12:00:00,7.514,7.557,7.238,7.302,2833601.0
2024-01-02 16:00:00,7.303,7.364,7.241,7.271,2119686.0
2024-01-02 20:00:00,7.271,7.332,7.151,7.18,2218133.0
2024-01-03 00:00:00,7.181,7.3,7.176,7.24,1532197.0
2024-01-03 04:00:00,7.241,7.382,7.232,7.264,2225153.0
2024-01-03 08:00:00,7.264,7.371,7.024,7.108,3123593.0
2024-01-03 12:00:00,7.107,7.11,5.786,6.602,12604721.0
2024-01-03 16:00:00,6.603,6.63,6.183,6.354,3862278.0
2024-01-03 20:00:00,6.351,6.487,6.342,6.433,1561465.0
2024-01-04 00:00:00,6.433,6.517,6.367,6.509,1486273.0
2024-01-04 04:00:00,6.51,6.584,6.48,6.503,1231413.0
2024-01-04 08:00:00,6.505,6.583,6.424,6.562,1934101.0
2024-01-04 12:00:00,6.561,6.719,6.554,6.66,2680263.0
2024-01-04 16:00:00,6.659,6.684,6.505,6.507,1427513.0
2024-01-04 20:00:00,6.507,6.616,6.501,6.531,1224043.0
2024-01-05 00:00:00,6.531,6.641,6.257,6.551,3342541.0
2024-01-05 04:00:00,6.551,6.595,6.494,6.522,1783529.0
2024-01-05 08:00:00,6.522,6.582,6.356,6.395,2208218.0
2024-01-05 12:00:00,6.395,6.456,6.25,6.323,2563227.0
2024-01-05 16:00:00,6.323,6.356,6.158,6.265,1985121.0
2024-01-05 20:00:00,6.266,6.436,6.266,6.435,1042030.0
2024-01-06 00:00:00,6.435,6.436,6.316,6.335,689287.0
2024-01-06 04:00:00,6.333,6.352,6.013,6.136,2512834.0
2024-01-06 08:00:00,6.135,6.269,6.1,6.258,1158059.0
2024-01-06 12:00:00,6.258,6.411,6.217,6.401,1704765.0
2024-01-06 16:00:00,6.402,6.442,6.328,6.374,1163843.0
2024-01-06 20:00:00,6.374,6.406,6.271,6.31,1011925.0
2024-01-07 00:00:00,6.309,6.401,6.283,6.367,842324.0
2024-01-07 04:00:00,6.367,6.449,6.361,6.403,1005215.0
2024-01-07 08:00:00,6.403,6.436,6.293,6.307,1335023.0
2024-01-07 12:00:00,6.307,6.346,6.166,6.207,1504728.0
2024-01-07 16:00:00,6.205,6.239,6.105,6.204,1288797.0
2024-01-07 20:00:00,6.203,6.224,5.917,6.003,2584034.0
2024-01-08 00:00:00,6.004,6.034,5.649,5.773,4191601.0
2024-01-08 04:00:00,5.774,5.957,5.739,5.906,1590720.0
2024-01-08 08:00:00,5.906,6.052,5.862,6.051,1422077.0
2024-01-08 12:00:00,6.052,6.124,6.012,6.043,2009645.0
2024-01-08 16:00:00,6.044,6.228,5.981,6.219,1782319.0
2024-01-08 20:00:00,6.221,6.24,6.128,6.237,1715931.0
2024-01-09 00:00:00,6.236,6.278,6.091,6.14,1561297.0
2024-01-09 04:00:00,6.14,6.204,6.097,6.111,944515.0
2024-01-09 08:00:00,6.11,6.112,5.945,5.998,3996340.0
2024-01-09 12:00:00,5.998,6.017,5.803,5.824,3217934.0
2024-01-09 16:00:00,5.823,5.879,5.747,5.816,1769671.0
2024-01-09 20:00:00,5.818,6.039,5.7,6.009,4660354.0
2024-01-10 00:00:00,6.009,6.152,5.969,6.039,2079960.0
2024-01-10 04:00:00,6.038,6.097,6.0,6.034,1014670.0
2024-01-10 08:00:00,6.035,6.28,5.966,6.211,3337255.0
2024-01-10 12:00:00,6.212,6.254,5.93,6.238,3407114.0
2024-01-10 16:00:00,6.239,6.356,6.125,6.34,2211369.0
2024-01-10 20:00:00,6.338,6.752,6.185,6.567,5194263.0
2024-01-11 00:00:00,6.568,6.717,6.508,6.716,2520059.0
2024-01-11 04:00:00,6.716,6.789,6.543,6.65,1916529.0
2024-01-11 08:00:00,6.649,6.858,6.629,6.849,2518087.0
2024-01-11 12:00:00,6.849,6.97,6.618,6.681,4766521.0
