datetime,open,high,low,close,volume
2024-04-03 12:00:00,1.31,1.338,1.282,1.305,5265079.7
2024-04-03 16:00:00,1.304,1.616,1.303,1.394,130869713.6
2024-04-03 20:00:00,1.394,1.437,1.246,1.309,75125790.1
2024-04-04 00:00:00,1.309,1.395,1.147,1.191,79719127.5
2024-04-04 04:00:00,1.19,1.218,1.1,1.172,79780675.4
2024-04-04 08:00:00,1.171,1.215,1.11,1.163,62036624.1
2024-04-04 12:00:00,1.163,1.205,1.108,1.159,79035390.3
2024-04-04 16:00:00,1.158,1.277,1.121,1.146,109532394.3
2024-04-04 20:00:00,1.146,1.148,1.02,1.077,86532156.5
2024-04-05 00:00:00,1.077,1.088,0.955,0.999,75014288.1
2024-04-05 04:00:00,0.999,1.02,0.938,0.974,64798021.9
2024-04-05 08:00:00,0.974,0.997,0.925,0.935,71281468.0
2024-04-05 12:00:00,0.936,1.027,0.913,0.974,97553935.6
2024-04-05 16:00:00,0.974,0.983,0.921,0.929,54337064.6
2024-04-05 20:00:00,0.93,0.995,0.915,0.971,46972925.6
2024-04-06 00:00:00,0.971,0.999,0.938,0.952,40686849.6
2024-04-06 04:00:00,0.951,1.056,0.929,1.011,79008672.8
2024-04-06 08:00:00,1.011,1.053,0.992,1.035,73339195.4
2024-04-06 12:00:00,1.035,1.133,1.004,1.125,103591691.3
2024-04-06 16:00:00,1.125,1.161,1.054,1.063,98100110.0
2024-04-06 20:00:00,1.063,1.091,1.051,1.059,37758847.4
2024-04-07 00:00:00,1.058,1.075,1.034,1.045,42575690.4
2024-04-07 04:00:00,1.045,1.091,1.044,1.081,46508680.0
2024-04-07 08:00:00,1.081,1.082,1.045,1.07,27503162.0
2024-04-07 12:00:00,1.07,1.07,1.011,1.025,45905151.5
2024-04-07 16:00:00,1.024,1.045,0.985,0.995,44162301.8
2024-04-07 20:00:00,0.996,1.014,0.986,1.008,25796238.8
2024-04-08 00:00:00,1.008,1.012,0.972,0.98,40445356.2
2024-04-08 04:00:00,0.981,1.008,0.97,0.998,34526724.4
2024-04-08 08:00:00,0.999,1.025,0.996,1.006,44675392.7
2024-04-08 12:00:00,1.006,1.05,0.98,0.988,74088244.1
2024-04-08 16:00:00,0.988,1.018,0.986,1.002,35293869.2
2024-04-08 20:00:00,1.003,1.008,0.985,0.991,25487370.2
2024-04-09 00:00:00,0.991,1.003,0.94,0.958,65061021.3
2024-04-09 04:00:00,0.959,0.967,0.882,0.9,92115164.4
2024-04-09 08:00:00,0.9,0.911,0.873,0.894,68128811.9
2024-04-09 12:00:00,0.894,0.906,0.853,0.876,73861578.6
2024-04-09 16:00:00,0.876,0.876,0.85,0.868,41284112.1
2024-04-09 20:00:00,0.867,0.871,0.835,0.847,46384825.3
2024-04-10 00:00:00,0.847,0.866,0.802,0.839,84877298.4
2024-04-10 04:00:00,0.839,0.879,0.832,0.844,52049833.1
2024-04-10 08:00:00,0.845,0.875,0.822,0.827,61717967.0
2024-04-10 12:00:00,0.827,0.829,0.783,0.806,82959926.3
2024-04-10 16:00:00,0.806,0.851,0.8,0.822,54965401.5
2024-04-10 20:00:00,0.822,0.846,0.808,0.838,30320711.9
2024-04-11 00:00:00,0.838,0.839,0.804,0.808,40589232.4
2024-04-11 04:00:00,0.809,0.834,0.796,0.8209,49712645.4
2024-04-11 08:00:00,0.8209,0.8413,0.7628,0.7708,95363636.9
2024-04-11 12:00:00,0.7708,0.806,0.752,0.7844,128283824.9
2024-04-11 16:00:00,0.7844,0.7899,0.7603,0.7696,52335630.5
2024-04-11 20:00:00,0.7695,0.7926,0.7656,0.7793,45152138.2
2024-04-12 00:00:00,0.7793,0.8,0.7751,0.7868,69934232.5
2024-04-12 04:00:00,0.7869,0.8154,0.7816,0.7972,68075548.6
2024-04-12 08:00:00,0.7972,0.8017,0.7616,0.7636,58692504.6
2024-04-12 12:00:00,0.7636,0.7639,0.6918,0.7059,138026645.9
2024-04-12 16:00:00,0.706,0.719,0.5022,0.5991,265804194.7
2024-04-12 20:00:00,0.5994,0.6164,0.59,0.6038,81307004.1
2024-04-13 00:00:00,0.6037,0.606,0.5725,0.5987,60522501.8
2024-04-13 04:00:00,0.5985,0.6286,0.5924,0.6138,55375125.0
2024-04-13 08:00:00,0.6137,0.6418,0.6082,0.6233,48650298.1
2024-04-13 12:00:00,0.6234,0.638,0.6159,0.6261,39080176.5
2024-04-13 16:00:00,0.626,0.6319,0.4997,0.535,136897415.6
2024-04-13 20:00:00,0.535,0.548,0.45,0.5426,163998366.5
2024-04-14 00:00:00,0.5428,0.5547,0.5266,0.5509,80524092.3
2024-04-14 04:00:00,0.5508,0.596,0.5432,0.595,66181994.3
2024-04-14 08:00:00,0.595,0.5973,0.5621,0.5706,41866890.6
2024-04-14 12:00:00,0.5706,0.6788,0.5701,0.6485,155544415.9
2024-04-14 16:00:00,0.6483,0.6609,0.6,0.6464,113092701.0
2024-04-14 20:00:00,0.6465,0.72,0.6314,0.7113,82989910.6
2024-04-15 00:00:00,0.7113,0.7118,0.6472,0.6557,63873875.7
2024-04-15 04:00:00,0.6557,0.683,0.6426,0.672,71187606.0
2024-04-15 08:00:00,0.6718,0.6818,0.6528,0.657,48580306.2
2024-04-15 12:00:00,0.657,0.6793,0.6227,0.6434,83638823.8
2024-04-15 16:00:00,0.6433,0.6474,0.6058,0.6309,67383987.5
2024-04-15 20:00:00,0.6309,0.6582,0.6165,0.6567,27582054.1
2024-04-16 00:00:00,0.6567,0.6567,0.607,0.6132,49406509.7
